e,norm,nbkg,flat,fbkg,nder,nsec
6876.9209,0.99023828,0.98448181,1.0003791,0.99462259,-9.17E-05,-6.28E-05
6880.3462,0.98926496,0.98437291,0.99941668,0.99452456,-3.33E-04,-3.06E-05
6883.969,0.98789164,0.98426296,0.99805266,0.9944239,-3.07E-04,1.70E-06
6887.4102,0.98709457,0.98416382,0.99726231,0.99433148,-3.21E-04,-2.55E-05
6890.8179,0.98569366,0.98407105,0.99586604,0.99424336,-4.82E-04,-1.96E-05
6894.2257,0.98380962,0.98398396,0.99398464,0.9941589,-4.55E-04,2.11E-05
6897.6582,0.98258285,0.98390228,0.99275849,0.99407784,-3.38E-04,1.31E-05
6901.2952,0.98142144,0.98382269,0.99159553,0.9939967,-3.62E-04,-2.49E-05
6904.728,0.98002448,0.98375446,0.990195,0.9939249,-5.14E-04,-2.72E-05
6908.1788,0.97788391,0.98369294,0.98804879,0.99385774,-5.49E-04,2.02E-05
6911.8341,0.97612163,0.98363584,0.9862783,0.99379243,-3.70E-04,4.08E-05
6915.8714,0.97503742,0.98358285,0.98518233,0.99372769,-2.36E-04,3.40E-05
6920.1446,0.97416391,0.98353885,0.98429331,0.99366817,-8.74E-05,3.80E-05
6924.2123,0.97430853,0.98350899,0.98442023,0.99362062,8.11E-05,3.61E-05
6928.2801,0.97482339,0.98349097,0.98491454,0.99358204,2.06E-04,3.61E-05
6932.3695,0.97599128,0.98348454,0.98605888,0.99355207,3.75E-04,3.52E-05
6936.4669,0.97789566,0.98348963,0.98793677,0.99353067,4.94E-04,2.12E-05
6940.5558,0.98003853,0.98350599,0.99005032,0.9935177,5.49E-04,5.55E-06
6944.6547,0.9823908,0.98353346,0.99237029,0.99351287,5.40E-04,-9.38E-06
6948.7497,0.98446169,0.98357174,0.99440602,0.99351599,4.72E-04,-1.71E-05
6952.8534,0.98626179,0.98362073,0.99616798,0.99352684,3.99E-04,-1.56E-05
6956.97,0.98774517,0.98368035,0.99761017,0.99354527,3.44E-04,-1.89E-05
6961.0817,0.98909239,0.98375012,0.99891332,0.99357097,2.44E-04,-2.74E-05
6965.2064,0.98975551,0.98383013,0.9995293,0.99360385,1.18E-04,-3.03E-05
6969.3452,0.99007059,0.98392029,0.99979414,0.99364375,-6.69E-06,-2.63E-05
6973.4785,0.98970019,0.98401994,0.9993706,0.99369027,-9.89E-05,-1.62E-05
6977.6202,0.98925237,0.98412919,0.99886657,0.99374331,-1.41E-04,-4.21E-06
6981.7629,0.98853555,0.98424764,0.99809056,0.99380258,-1.34E-04,2.05E-06
6985.9086,0.98814346,0.98437513,0.99763627,0.99386787,-1.24E-04,-1.04E-06
6990.0711,0.98750851,0.98451189,0.99693589,0.9939392,-1.42E-04,2.91E-06
6994.2354,0.98695719,0.98465725,0.99631611,0.9940161,-9.94E-05,2.69E-06
6998.4029,0.98668038,0.98481103,0.99596779,0.99409837,-1.20E-04,-9.84E-06
7002.578,0.9859558,0.98497318,0.99516856,0.99418587,-1.81E-04,-9.94E-06
7006.7475,0.98516617,0.98514295,0.99430137,0.99427807,-2.03E-04,1.56E-06
7010.9268,0.9842614,0.98532072,0.99331585,0.9943751,-1.68E-04,2.21E-05
7015.1134,0.98375711,0.9855062,0.99272764,0.99447665,-1.84E-05,2.12E-05
7019.2973,0.98410758,0.9856987,0.99299123,0.99458226,8.98E-06,3.56E-06
7023.4918,0.98383237,0.9858986,0.99262587,0.99469202,1.14E-05,1.31E-05
7027.6865,0.98420348,0.9861052,0.99290378,0.99480543,1.18E-04,1.92E-05
7032.0863,0.98485064,0.98632881,0.99344994,0.99492802,1.76E-04,1.25E-05
7036.4989,0.98575586,0.98655988,0.99425049,0.99505443,2.29E-04,6.74E-06
7040.7019,0.98682091,0.98678606,0.99521271,0.99517779,2.34E-04,-1.01E-06
7044.8983,0.98772309,0.98701755,0.99600919,0.99530357,2.20E-04,-1.04E-06
7049.1054,0.98867159,0.98725506,0.99684866,0.99543205,2.25E-04,-5.02E-06
7053.3085,0.98961946,0.98749753,0.99768454,0.99556254,1.78E-04,-1.79E-05
7057.5231,0.99017031,0.98774561,0.99812005,0.99569527,7.50E-05,-2.54E-05
7061.7464,0.99025206,0.98799891,0.99808313,0.9958299,-3.61E-05,-2.04E-05
7065.9661,0.98986551,0.98825646,0.99757494,0.99596581,-9.77E-05,-1.11E-05
7070.1948,0.9894269,0.98851878,0.99701134,0.99610314,-1.30E-04,-7.47E-06
7074.4153,0.98876915,0.98878454,0.99622576,0.99624107,-1.61E-04,3.93E-06
7078.8467,0.98803551,0.98906756,0.99535459,0.99638657,-9.57E-05,9.29E-06
