e,xmu,bkg,pre_edge,post_edge,der,sec,chie
6613.0212,0.55541256,0.52981366,0.15993037,0.5336106,2.56E-03,-6.64E-04,6.83E-02
6614.9212,0.55893118,0.53068888,0.16009059,0.53373524,1.29E-03,-5.94E-04,7.53E-02
6616.8991,0.56042026,0.53154789,0.16025737,0.53386522,2.56E-04,-5.16E-04,7.70E-02
6618.7823,0.55992081,0.53231787,0.16041617,0.53398922,-7.01E-04,-4.50E-04,7.36E-02
6620.5899,0.55783221,0.53301419,0.16056859,0.53410844,-1.40E-03,-3.11E-04,6.62E-02
6622.482,0.55472911,0.5336996,0.16072814,0.53423346,-1.85E-03,-1.67E-04,5.61E-02
6624.2887,0.55097933,0.53431383,0.16088049,0.53435305,-2.02E-03,1.54E-05,4.45E-02
6626.3425,0.54692536,0.53496583,0.16105367,0.53448924,-1.79E-03,1.89E-04,3.19E-02
6628.1873,0.54398733,0.53551099,0.16120923,0.5346118,-1.28E-03,3.35E-04,2.26E-02
6630.045,0.54216931,0.53602252,0.16136588,0.53473543,-5.53E-04,3.39E-04,1.64E-02
6632.0989,0.54182553,0.53654599,0.16153907,0.53487238,3.99E-05,2.70E-04,1.41E-02
6633.926,0.54232412,0.53697585,0.16169314,0.53499442,4.96E-04,1.80E-04,1.43E-02
6635.7986,0.54365993,0.53738283,0.16185105,0.53511973,7.04E-04,2.55E-05,1.67E-02
6637.6286,0.54493089,0.53774893,0.16200536,0.53524239,5.90E-04,-1.03E-04,1.92E-02
6639.5064,0.54584872,0.53809346,0.1621637,0.53536849,3.22E-04,-1.70E-04,2.07E-02
6641.5168,0.54618274,0.53842887,0.16233323,0.53550373,-7.06E-05,-1.74E-04,2.07E-02
6643.6202,0.54555834,0.53874454,0.1625106,0.5356455,-3.94E-04,-1.48E-04,1.82E-02
6645.3959,0.5446547,0.53898434,0.16266033,0.5357654,-6.43E-04,-9.27E-05,1.51E-02
6647.3267,0.54317378,0.53921878,0.16282314,0.535896,-7.37E-04,7.53E-06,1.05E-02
