e,xmu,bkg,pre_edge,post_edge,der,sec,chie
6557.6778,0.68006865,0.82066194,0.16518314,0.53465082,1.35E-02,-1.59E-02,-0.38044198
6558.0688,0.68424366,0.79112875,0.16521511,0.53467433,8.72E-03,-1.16E-02,-0.28922842
6558.4742,0.6870106,0.76271553,0.16524827,0.53469872,4.28E-03,-1.13E-02,-0.20485566
6558.8761,0.68769656,0.73669529,0.16528113,0.5347229,-3.73E-04,-9.91E-03,-0.13258935
6559.2709,0.68671329,0.71313438,0.16531341,0.53474667,-3.62E-03,-1.01E-02,-7.15E-02
6559.6439,0.68492035,0.69261013,0.16534392,0.53476913,-8.10E-03,-1.36E-02,-2.08E-02
6560.0025,0.68079036,0.67441186,0.16537324,0.53479074,-1.35E-02,-1.52E-02,1.73E-02
6560.3322,0.67560519,0.65895373,0.1654002,0.5348106,-1.86E-02,-1.43E-02,4.51E-02
6560.6401,0.66895414,0.64557073,0.16542538,0.53482917,-2.27E-02,-9.28E-03,6.33E-02
6560.959,0.66139791,0.63274836,0.16545145,0.5348484,-2.44E-02,-2.25E-03,7.75E-02
6561.2996,0.65287403,0.6201652,0.16547931,0.53486895,-2.41E-02,2.32E-03,8.85E-02
6561.6946,0.64363388,0.60694742,0.16551161,0.53489279,-2.27E-02,2.34E-03,9.93E-02
6562.097,0.63479276,0.5949233,0.16554451,0.53491709,-2.23E-02,5.68E-04,0.10788577
6562.4993,0.62570108,0.58426375,0.16557742,0.53494139,-2.22E-02,4.35E-04,0.11212839
6562.8945,0.6170714,0.57504169,0.16560973,0.53496527,-2.19E-02,1.83E-03,0.11373137
6563.268,0.60883867,0.56738802,0.16564028,0.53498785,-2.08E-02,2.61E-03,0.11216444
6563.6234,0.60190264,0.56099927,0.16566934,0.53500934,-2.00E-02,6.55E-04,0.1106835
6563.9498,0.59517662,0.55584817,0.16569603,0.53502909,-2.04E-02,3.71E-03,0.10642183
6564.2581,0.58897653,0.55157049,0.16572124,0.53504775,-1.77E-02,1.05E-02,0.10121981
6564.5773,0.58407984,0.54770115,0.16574735,0.53506708,-1.38E-02,1.09E-02,9.84E-02
6564.9147,0.57992784,0.54418368,0.16577494,0.53508751,-1.05E-02,8.59E-03,9.67E-02
6565.3066,0.57638885,0.54077066,0.16580698,0.53511125,-7.52E-03,5.80E-03,9.64E-02
6565.713,0.57392544,0.53791321,0.16584022,0.53513589,-5.92E-03,4.09E-03,9.74E-02
6566.1122,0.57162333,0.53569845,0.16587286,0.53516009,-4.22E-03,4.75E-03,9.72E-02
6566.5115,0.57055519,0.53398598,0.16590551,0.53518431,-2.12E-03,4.56E-03,9.90E-02
6566.8817,0.56999147,0.53277397,0.16593579,0.53520678,-7.11E-04,3.74E-03,0.10070965
6567.2412,0.57003658,0.53187871,0.16596518,0.5352286,6.05E-04,4.99E-03,0.10325425
6567.5716,0.57040882,0.53124712,0.1659922,0.53524867,2.73E-03,6.63E-03,0.1059706
6567.8803,0.57178228,0.53077955,0.16601744,0.53526742,4.84E-03,4.20E-03,0.11095236
6568.1962,0.57343184,0.53038208,0.16604328,0.53528662,5.36E-03,8.78E-04,0.11649159
6568.5376,0.57530273,0.52999751,0.1660712,0.53530738,5.42E-03,4.85E-04,0.12259482
6568.9263,0.5773869,0.5295759,0.16610299,0.53533102,5.71E-03,1.29E-03,0.12937539
6569.3332,0.57984509,0.52914877,0.16613626,0.53535577,6.44E-03,1.52E-03,0.13718301
6569.7365,0.58260509,0.5287396,0.16616924,0.53538032,6.94E-03,9.36E-05,0.14575869
6570.1362,0.58542188,0.52834787,0.16620193,0.53540466,6.52E-03,-3.54E-04,0.15444087
6570.5106,0.58764875,0.52799335,0.16623254,0.53542747,6.67E-03,-3.61E-04,0.16142606
6570.8704,0.59031912,0.52766368,0.16626197,0.5354494,6.25E-03,-2.67E-03,0.16954409
6571.2012,0.59196581,0.52737013,0.16628902,0.53546956,4.83E-03,-3.91E-03,0.17479432
6571.5103,0.5934071,0.52710408,0.16631429,0.53548841,3.75E-03,-5.36E-03,0.17941435
6571.8302,0.59432453,0.52683683,0.16634045,0.53550793,1.46E-03,-5.24E-03,0.18262007
6572.1684,0.59436529,0.52656339,0.16636811,0.53552857,3.02E-04,-1.82E-03,0.18347028
6572.5539,0.59454272,0.52626287,0.16639963,0.5355521,1.36E-04,-2.44E-03,0.1847636
6572.9613,0.59447327,0.52595811,0.16643294,0.53557698,-1.63E-03,-4.37E-03,0.18540032
6573.3614,0.59322675,0.52567142,0.16646567,0.53560143,-3.39E-03,-3.41E-03,0.18280308
6573.7616,0.59175807,0.52539708,0.16649839,0.53562589,-4.36E-03,-2.85E-03,0.1795712
6574.1327,0.589867,0.52515361,0.16652874,0.53564858,-5.59E-03,-4.21E-03,0.17511284
