e_test,test,e_K_wide,K_wide,e_K_wide,K_narrow,e_Na_wide,Na_wide,e_Na_narrow,Na_narrow
11.64,20537.5,11.64,127393.75,3.64,12456.25,11.64,45075,3.64,47391.0156
11.62,20903.125,11.62,175953.125,3.62,12619.5313,11.62,44828.125,3.62,47432.8125
11.6,20728.125,11.6,230415.625,3.6,12437.8906,11.6,44562.5,3.6,47902.3438
11.58,21646.875,11.58,289000,3.58,12507.0313,11.58,43950,3.58,47665.2344
11.56,21775,11.56,341806.25,3.56,12469.9219,11.56,43028.125,3.56,48185.1563
11.54,22284.375,11.54,390343.75,3.54,12596.875,11.54,42525,3.54,48200.3906
11.52,22903.125,11.52,423912.5,3.52,12596.4844,11.52,43287.5,3.52,48447.2656
11.5,23356.25,11.5,448653.125,3.5,12850.7813,11.5,41756.25,3.5,48434.375
11.48,23859.375,11.48,465081.25,3.48,12632.0313,11.48,41003.125,3.48,48789.4531
11.46,24946.875,11.46,477128.125,3.46,12632.0313,11.46,41193.75,3.46,48917.9688
11.44,27087.5,11.44,483150,3.44,12646.0938,11.44,40890.625,3.44,48791.0156
11.42,29587.5,11.42,488265.625,3.42,12624.2188,11.42,40225,3.42,48940.625
11.4,33500,11.4,488681.25,3.4,12633.9844,11.4,38821.875,3.4,49064.0625
11.38,42190.625,11.38,486990.625,3.38,12807.4219,11.38,38609.375,3.38,49312.1094
11.36,54965.625,11.36,481962.5,3.36,12722.2656,11.36,38000,3.36,49481.6406
11.34,72231.25,11.34,475921.875,3.34,12935.9375,11.34,37903.125,3.34,49479.6875
11.32,93768.75,11.32,469203.125,3.32,12666.7969,11.32,37084.375,3.32,49705.0781
11.3,117056.25,11.3,461643.75,3.3,12829.2969,11.3,37093.75,3.3,50032.0313
11.28,142321.875,11.28,454137.5,3.28,12931.6406,11.28,36281.25,3.28,50257.4219
11.26,171556.25,11.26,451696.875,3.26,12867.5781,11.26,35300,3.26,50270.3125
11.24,204878.125,11.24,443250,3.24,12869.9219,11.24,34975,3.24,50184.375
11.22,242675,11.22,440009.375,3.22,12873.8281,11.22,34593.75,3.22,50273.0469
11.2,283578.125,11.2,434025,3.2,12714.8438,11.2,34353.125,3.2,50391.4063
11.18,327187.5,11.18,427650,3.18,12776.1719,11.18,33034.375,3.18,50914.4531
11.16,371790.625,11.16,419325,3.16,12907.8125,11.16,32331.25,3.16,50543.75
11.14,418334.375,11.14,414265.625,3.14,12830.0781,11.14,32071.875,3.14,50591.0156
11.12,466965.625,11.12,407534.375,3.12,12868.75,11.12,31456.25,3.12,50714.0625
11.1,512118.75,11.1,398384.375,3.1,13003.5156,11.1,31556.25,3.1,51228.9063
11.08,557221.875,11.08,395084.375,3.08,13003.5156,11.08,30712.5,3.08,51545.3125
11.06,598453.125,11.06,388903.125,3.06,13019.9219,11.06,30312.5,3.06,51533.2031
11.04,635237.5,11.04,380718.75,3.04,13075.7813,11.04,28768.75,3.04,51803.5156
11.02,668943.75,11.02,377781.25,3.02,12994.1406,11.02,28871.875,3.02,51768.75
11,696762.5,11,373956.25,3,13129.6875,11,28403.125,3,52179.6875
10.98,719009.375,10.98,370862.5,2.98,13159.7656,10.98,27765.625,2.98,51983.2031
10.96,735728.125,10.96,365478.125,2.96,13032.8125,10.96,27046.875,2.96,52224.2188
10.94,748040.625,10.94,361221.875,2.94,13119.5313,10.94,26931.25,2.94,52285.5469
10.92,748603.125,10.92,354700,2.92,12975,10.92,26300,2.92,52053.9063
10.9,750731.25,10.9,349431.25,2.9,12859.375,10.9,25221.875,2.9,52246.0938
10.88,746796.875,10.88,344762.5,2.88,13014.8438,10.88,25225,2.88,52648.4375
10.86,742793.75,10.86,341059.375,2.86,13023.4375,10.86,24828.125,2.86,52638.2813
10.84,740190.625,10.84,337231.25,2.84,13158.5938,10.84,23968.75,2.84,53169.9219
10.82,737937.5,10.82,332540.625,2.82,13260.1563,10.82,23643.75,2.82,53241.0156
10.8,733000,10.8,328887.5,2.8,13259.7656,10.8,23243.75,2.8,53404.6875
10.78,728121.875,10.78,324462.5,2.78,13075.3906,10.78,23065.625,2.78,53371.0938
10.76,726468.75,10.76,322440.625,2.76,13187.8906,10.76,23025,2.76,53446.0938
10.74,720528.125,10.74,319209.375,2.74,13267.9688,10.74,22203.125,2.74,53722.2656
10.72,716237.5,10.72,314762.5,2.72,13150.3906,10.72,23356.25,2.72,53681.6406
10.7,706415.625,10.7,311053.125,2.7,13354.6875,10.7,23159.375,2.7,53935.9375
10.68,702834.375,10.68,305878.125,2.68,13400.7813,10.68,24437.5,2.68,54120.7031
10.66,694993.75,10.66,303159.375,2.66,13535.9375,10.66,25090.625,2.66,54035.1563
10.64,686343.75,10.64,298500,2.64,13605.0781,10.64,25306.25,2.64,54263.6719
10.62,679284.375,10.62,295959.375,2.62,13431.6406,10.62,26781.25,2.62,54491.7969
10.6,673596.875,10.6,290409.375,2.6,13486.3281,10.6,28012.5,2.6,54306.25
10.58,668587.5,10.58,289265.625,2.58,13501.1719,10.58,29490.625,2.58,54816.4063
10.56,665165.625,10.56,284206.25,2.56,13482.4219,10.56,30818.75,2.56,54842.1875
10.54,659950,10.54,281900,2.54,13454.6875,10.54,32796.875,2.54,55013.2813
10.52,655003.125,10.52,281103.125,2.52,13421.4844,10.52,35771.875,2.52,54978.5156
10.5,648481.25,10.5,274309.375,2.5,13549.6094,10.5,38259.375,2.5,55189.8438
10.48,641843.75,10.48,271671.875,2.48,13568.3594,10.48,40693.75,2.48,55001.5625
10.46,633634.375,10.46,267809.375,2.46,13784.7656,10.46,44696.875,2.46,55187.8906
10.44,627368.75,10.44,264040.625,2.44,13581.25,10.44,48131.25,2.44,55518.75
10.42,619775,10.42,262671.875,2.42,13668.75,10.42,50978.125,2.42,55142.9688
10.4,612346.875,10.4,258634.375,2.4,13612.5,10.4,55256.25,2.4,55722.2656
10.38,604900,10.38,253437.5,2.38,13517.1875,10.38,57981.25,2.38,55668.3594
10.36,595265.625,10.36,251003.125,2.36,13547.2656,10.36,63375,2.36,56013.6719
10.34,589915.625,10.34,249815.625,2.34,13668.75,10.34,66787.5,2.34,56062.5
10.32,587665.625,10.32,243853.125,2.32,13604.6875,10.32,70893.75,2.32,55882.0313
10.3,581093.75,10.3,242271.875,2.3,13694.5313,10.3,75812.5,2.3,56114.4531
10.28,576284.375,10.28,241150,2.28,13667.5781,10.28,78981.25,2.28,55708.5938
10.26,568440.625,10.26,236153.125,2.26,13632.0313,10.26,82296.875,2.26,55925
10.24,562396.875,10.24,233134.375,2.24,13783.5938,10.24,86696.875,2.24,55921.875
