e_test,test,e_K_wide,K_wide,e_K_wide,K_narrow,e_Na_wide,Na_wide,e_Na_narrow,Na_narrow
7.08,65321.875,7.08,24328.125,-0.92,7463.2813,7.08,59921.875,-0.92,28148.8281
7.06,65687.5,7.06,23696.875,-0.94,7513.2813,7.06,59165.625,-0.94,27616.7969
7.04,64343.75,7.04,23325,-0.96,7396.0938,7.04,59178.125,-0.96,27357.4219
7.02,63446.875,7.02,23800,-0.98,7386.3281,7.02,58756.25,-0.98,27230.8594
7,62118.75,7,23984.375,-1,7325.7813,7,59018.75,-1,26730.4688
6.98,62278.125,6.98,22931.25,-1.02,7208.9844,6.98,58493.75,-1.02,26502.3438
6.96,61721.875,6.96,22150,-1.04,7102.3438,6.96,58278.125,-1.04,25894.9219
6.94,61193.75,6.94,22309.375,-1.06,7108.5938,6.94,57478.125,-1.06,25409.375
6.92,60100,6.92,22059.375,-1.08,7103.5156,6.92,58006.25,-1.08,25052.7344
6.9,60381.25,6.9,22721.875,-1.1,6941.4063,6.9,57409.375,-1.1,24656.6406
6.88,60137.5,6.88,21881.25,-1.12,6980.8594,6.88,56634.375,-1.12,24249.2188
6.86,59393.75,6.86,21687.5,-1.14,6807.0313,6.86,57059.375,-1.14,23974.2188
6.84,57846.875,6.84,21250,-1.16,6741.0156,6.84,57206.25,-1.16,23691.0156
6.82,57618.75,6.82,20878.125,-1.18,6829.6875,6.82,55681.25,-1.18,23422.2656
6.8,56896.875,6.8,20906.25,-1.2,6734.375,6.8,56128.125,-1.2,23001.1719
6.78,56503.125,6.78,20800,-1.22,6687.5,6.78,55421.875,-1.22,22660.1563
6.76,55715.625,6.76,19984.375,-1.24,6542.9688,6.76,55790.625,-1.24,22600.7813
6.74,54628.125,6.74,20162.5,-1.26,6445.3125,6.74,55043.75,-1.26,22393.3594
6.72,55440.625,6.72,20215.625,-1.28,6454.2969,6.72,55350,-1.28,21958.9844
6.7,54825,6.7,19381.25,-1.3,6305.0781,6.7,55050,-1.3,21625.7813
6.68,54190.625,6.68,19856.25,-1.32,6292.1875,6.68,55596.875,-1.32,21275
6.66,53065.625,6.66,19709.375,-1.34,6135.1563,6.66,54868.75,-1.34,21032.4219
6.64,52284.375,6.64,19425,-1.36,6140.625,6.64,54725,-1.36,20822.6563
6.62,52600,6.62,19525,-1.38,6107.4219,6.62,53940.625,-1.38,20402.7344
6.6,52112.5,6.6,19203.125,-1.4,5901.9531,6.6,53346.875,-1.4,20201.9531
6.58,50775,6.58,19206.25,-1.42,6080.0781,6.58,54187.5,-1.42,19861.3281
6.56,50956.25,6.56,18343.75,-1.44,5885.1563,6.56,53871.875,-1.44,19812.1094
6.54,50793.75,6.54,18300,-1.46,5882.8125,6.54,54109.375,-1.46,19502.7344
6.52,49893.75,6.52,18584.375,-1.48,5826.1719,6.52,53203.125,-1.48,19157.4219
6.5,49321.875,6.5,18084.375,-1.5,5592.1875,6.5,53378.125,-1.5,18968.75
6.48,49837.5,6.48,18296.875,-1.52,5571.4844,6.48,53618.75,-1.52,18821.4844
6.46,49462.5,6.46,18387.5,-1.54,5516.7969,6.46,53921.875,-1.54,18460.9375
6.44,48715.625,6.44,18165.625,-1.56,5402.7344,6.44,53612.5,-1.56,18344.5313
6.42,48393.75,6.42,18003.125,-1.58,5485.5469,6.42,53625,-1.58,18003.9063
6.4,47362.5,6.4,18300,-1.6,5325.3906,6.4,52531.25,-1.6,17829.2969
6.38,47421.875,6.38,17709.375,-1.62,5245.3125,6.38,52462.5,-1.62,17562.8906
6.36,47362.5,6.36,17475,-1.64,5228.9063,6.36,52375,-1.64,17189.0625
6.34,47462.5,6.34,16715.625,-1.66,5286.3281,6.34,52415.625,-1.66,16923.0469
6.32,46475,6.32,16781.25,-1.68,5028.125,6.32,51884.375,-1.68,17037.8906
6.3,45112.5,6.3,16931.25,-1.7,4975.7813,6.3,52003.125,-1.7,16575.7813
6.28,45625,6.28,16662.5,-1.72,4930.4688,6.28,53059.375,-1.72,16360.1563
6.26,44996.875,6.26,16896.875,-1.74,4812.8906,6.26,52237.5,-1.74,16134.375
6.24,45278.125,6.24,16850,-1.76,4778.9063,6.24,51990.625,-1.76,15907.4219
6.22,45906.25,6.22,16853.125,-1.78,4793.3594,6.22,52650,-1.78,15626.9531
6.2,45068.75,6.2,16456.25,-1.8,4700.3906,6.2,52706.25,-1.8,15340.2344
6.18,44671.875,6.18,16271.875,-1.82,4671.4844,6.18,52309.375,-1.82,15136.3281
6.16,44134.375,6.16,15825,-1.84,4491.4063,6.16,52103.125,-1.84,14923.0469
6.14,44150,6.14,16178.125,-1.86,4487.8906,6.14,52809.375,-1.86,14646.875
6.12,43953.125,6.12,15740.625,-1.88,4480.4688,6.12,51593.75,-1.88,14621.4844
6.1,42678.125,6.1,15831.25,-1.9,4334.375,6.1,52315.625,-1.9,14493.3594
6.08,42678.125,6.08,15653.125,-1.92,4312.8906,6.08,52037.5,-1.92,14392.1875
6.06,42218.75,6.06,15725,-1.94,4367.1875,6.06,52178.125,-1.94,14033.5938
6.04,41990.625,6.04,15590.625,-1.96,4236.3281,6.04,51525,-1.96,13992.1875
6.02,41956.25,6.02,15918.75,-1.98,4153.9063,6.02,51684.375,-1.98,13617.5781
6,41831.25,6,15543.75,-2,4048.4375,6,52384.375,-2,13512.1094
5.98,41621.875,5.98,15193.75,-2.02,4056.6406,5.98,51593.75,-2.02,13361.7188
5.96,41975,5.96,14968.75,-2.04,3994.9219,5.96,52840.625,-2.04,13131.6406
5.94,41846.875,5.94,14893.75,-2.06,3939.8438,5.94,52171.875,-2.06,12857.0313
5.92,41896.875,5.92,15006.25,-2.08,3962.8906,5.92,51306.25,-2.08,12603.125
5.9,41118.75,5.9,15034.375,-2.1,3818.75,5.9,51165.625,-2.1,12489.4531
5.88,41053.125,5.88,15190.625,-2.12,3841.0156,5.88,51103.125,-2.12,12231.6406
5.86,39653.125,5.86,15184.375,-2.14,3820.7031,5.86,51059.375,-2.14,12076.9531
5.84,39946.875,5.84,15112.5,-2.16,3727.7344,5.84,51015.625,-2.16,11915.625
5.82,39825,5.82,14693.75,-2.18,3600.7813,5.82,50868.75,-2.18,11861.3281
5.8,39981.25,5.8,14746.875,-2.2,3618.3594,5.8,51118.75,-2.2,11462.1094
5.78,40834.375,5.78,14584.375,-2.22,3495.3125,5.78,51096.875,-2.22,11376.5625
5.76,40390.625,5.76,15043.75,-2.24,3433.2031,5.76,51746.875,-2.24,11266.0156
5.74,38831.25,5.74,14256.25,-2.26,3402.7344,5.74,51640.625,-2.26,10955.4688
5.72,39771.875,5.72,14603.125,-2.28,3378.5156,5.72,51265.625,-2.28,10835.9375
5.7,39103.125,5.7,14553.125,-2.3,3377.3438,5.7,51565.625,-2.3,10551.1719
5.68,38334.375,5.68,14628.125,-2.32,3211.7188,5.68,51643.75,-2.32,10409.7656
5.66,38884.375,5.66,14131.25,-2.34,3251.9531,5.66,51825,-2.34,10291.0156
5.64,38606.25,5.64,14181.25,-2.36,3146.875,5.64,50962.5,-2.36,10105.8594
5.62,38381.25,5.62,14028.125,-2.38,3116.7969,5.62,50596.875,-2.38,9923.0469
5.6,38634.375,5.6,14321.875,-2.4,3129.6875,5.6,51521.875,-2.4,9697.6563
5.58,38759.375,5.58,14146.875,-2.42,2971.4844,5.58,51046.875,-2.42,9505.8594
5.56,38259.375,5.56,14231.25,-2.44,2970.3125,5.56,51053.125,-2.44,9235.1563
5.54,38331.25,5.54,13881.25,-2.46,2937.5,5.54,51043.75,-2.46,9212.1094
5.52,39084.375,5.52,14034.375,-2.48,2983.5938,5.52,50978.125,-2.48,8942.9688
5.5,38056.25,5.5,13696.875,-2.5,2785.1563,5.5,51053.125,-2.5,8764.8438
5.48,38459.375,5.48,13606.25,-2.52,2811.7188,5.48,51078.125,-2.52,8545.3125
5.46,38450,5.46,13743.75,-2.54,2614.4531,5.46,51475,-2.54,8300.3906
5.44,36868.75,5.44,13784.375,-2.56,2592.9688,5.44,51868.75,-2.56,8144.9219
5.42,37384.375,5.42,13284.375,-2.58,2608.9844,5.42,50343.75,-2.58,7940.2344
5.4,37040.625,5.4,13887.5,-2.6,2415.625,5.4,51562.5,-2.6,7768.75
5.38,36509.375,5.38,13350,-2.62,2538.6719,5.38,50150,-2.62,7690.2344
5.36,37275,5.36,13303.125,-2.64,2381.6406,5.36,49900,-2.64,7338.2813
5.34,36065.625,5.34,12937.5,-2.66,2287.5,5.34,50750,-2.66,7115.625
5.32,36262.5,5.32,12918.75,-2.68,2326.9531,5.32,51187.5,-2.68,7048.4375
5.3,36281.25,5.3,13231.25,-2.7,2191.7969,5.3,50931.25,-2.7,6880.0781
5.28,36325,5.28,13281.25,-2.72,2214.4531,5.28,51012.5,-2.72,6507.4219
5.26,36225,5.26,12925,-2.74,2165.2344,5.26,51134.375,-2.74,6505.8594
5.24,36565.625,5.24,13509.375,-2.76,2061.7188,5.24,51281.25,-2.76,6250
5.22,35790.625,5.22,13037.5,-2.78,2046.0938,5.22,50640.625,-2.78,6116.0156
5.2,35875,5.2,12353.125,-2.8,2013.6719,5.2,50934.375,-2.8,5951.5625
5.18,35403.125,5.18,12509.375,-2.82,1938.6719,5.18,49803.125,-2.82,5675
5.16,35428.125,5.16,12550,-2.84,1956.6406,5.16,50218.75,-2.84,5683.9844
5.14,35646.875,5.14,12340.625,-2.86,1852.7344,5.14,50184.375,-2.86,5495.3125
5.12,34868.75,5.12,12653.125,-2.88,1863.2813,5.12,50146.875,-2.88,5411.7188
5.1,34421.875,5.1,12750,-2.9,1794.9219,5.1,50712.5,-2.9,5312.5
5.08,35159.375,5.08,12493.75,-2.92,1694.5313,5.08,50128.125,-2.92,5095.7031
5.06,35040.625,5.06,12653.125,-2.94,1677.3438,5.06,50884.375,-2.94,4928.125
5.04,34806.25,5.04,12984.375,-2.96,1700.7813,5.04,50037.5,-2.96,4757.4219
5.02,35118.75,5.02,12637.5,-2.98,1636.7188,5.02,50018.75,-2.98,4605.4688
5,34312.5,5,12521.875,-3,1564.8438,5,49900,-3,4448.8281
4.98,35231.25,4.98,12050,-3.02,1511.7188,4.98,50356.25,-3.02,4318.3594
4.96,34590.625,4.96,12121.875,-3.04,1477.7344,4.96,50471.875,-3.04,4184.375
4.94,33387.5,4.94,12056.25,-3.06,1392.9688,4.94,49928.125,-3.06,4066.0156
4.92,34025,4.92,12121.875,-3.08,1343.75,4.92,49896.875,-3.08,3870.3125
4.9,33671.875,4.9,12559.375,-3.1,1357.4219,4.9,50150,-3.1,3800.7813
4.88,33768.75,4.88,12150,-3.12,1342.9688,4.88,50353.125,-3.12,3623.0469
4.86,34071.875,4.86,11956.25,-3.14,1363.6719,4.86,49915.625,-3.14,3500
4.84,33171.875,4.84,11940.625,-3.16,1335.1563,4.84,50134.375,-3.16,3537.5
4.82,33684.375,4.82,11918.75,-3.18,1156.25,4.82,50546.875,-3.18,3383.9844
4.8,33681.25,4.8,12231.25,-3.2,1121.875,4.8,49734.375,-3.2,3185.1563
4.78,33093.75,4.78,12009.375,-3.22,1128.5156,4.78,50178.125,-3.22,3246.875
4.76,33140.625,4.76,12328.125,-3.24,1137.5,4.76,49437.5,-3.24,3132.0313
4.74,32625,4.74,11759.375,-3.26,1162.1094,4.74,49775,-3.26,3017.1875
4.72,32578.125,4.72,11743.75,-3.28,1121.4844,4.72,49534.375,-3.28,2986.7188
4.7,32168.75,4.7,11803.125,-3.3,1010.5469,4.7,49859.375,-3.3,2733.9844
4.68,32434.375,4.68,11650,-3.32,1096.4844,4.68,49368.75,-3.32,2681.25
4.66,32446.875,4.66,11828.125,-3.34,1117.9688,4.66,50115.625,-3.34,2609.375
4.64,32096.875,4.64,11846.875,-3.36,1032.8125,4.64,50200,-3.36,2542.5781
4.62,32234.375,4.62,11471.875,-3.38,1046.875,4.62,50553.125,-3.38,2564.4531
4.6,32006.25,4.6,11521.875,-3.4,965.625,4.6,49837.5,-3.4,2371.875
4.58,32159.375,4.58,11359.375,-3.42,903.9063,4.58,49690.625,-3.42,2376.5625
4.56,32321.875,4.56,11931.25,-3.44,1067.9688,4.56,49843.75,-3.44,2375
4.54,31703.125,4.54,11393.75,-3.46,1005.0781,4.54,49428.125,-3.46,2212.1094
4.52,31234.375,4.52,11262.5,-3.48,965.625,4.52,49346.875,-3.48,2251.9531
4.5,30850,4.5,11090.625,-3.5,1030.8594,4.5,48996.875,-3.5,2213.2813
4.48,31359.375,4.48,11131.25,-3.52,982.8125,4.48,48240.625,-3.52,2084.375
4.46,30740.625,4.46,11365.625,-3.54,884.7656,4.46,48921.875,-3.54,2066.0156
4.44,30746.875,4.44,11031.25,-3.56,969.1406,4.44,49259.375,-3.56,1925.3906
4.42,31068.75,4.42,11184.375,-3.58,831.6406,4.42,48853.125,-3.58,2028.9063
4.4,30621.875,4.4,10918.75,-3.6,835.5469,4.4,48931.25,-3.6,1878.9063
4.38,31546.875,4.38,10893.75,-3.62,861.3281,4.38,48931.25,-3.62,1876.9531
4.36,31706.25,4.36,10718.75,-3.64,800.7813,4.36,48250,-3.64,1872.6563
4.34,30896.875,4.34,10743.75,-3.66,798.8281,4.34,48859.375,-3.66,1752.7344
4.32,30559.375,4.32,11000,-3.68,803.5156,4.32,48509.375,-3.68,1724.2188
4.3,31334.375,4.3,10765.625,-3.7,751.9531,4.3,47990.625,-3.7,1677.3438
4.28,30384.375,4.28,10850,-3.72,716.0156,4.28,48809.375,-3.72,1657.4219
4.26,30571.875,4.26,10737.5,-3.74,762.5,4.26,48737.5,-3.74,1600.3906
4.24,30278.125,4.24,10346.875,-3.76,703.125,4.24,47465.625,-3.76,1615.625
4.22,29909.375,4.22,10731.25,-3.78,808.2031,4.22,48618.75,-3.78,1623.0469
4.2,30550,4.2,10418.75,-3.8,768.3594,4.2,48728.125,-3.8,1428.125
4.18,30740.625,4.18,10378.125,-3.82,661.7188,4.18,48178.125,-3.82,1445.3125
4.16,30362.5,4.16,10193.75,-3.84,687.8906,4.16,47468.75,-3.84,1450.3906
4.14,30262.5,4.14,10681.25,-3.86,716.7969,4.14,48037.5,-3.86,1302.7344
4.12,29840.625,4.12,10406.25,-3.88,688.6719,4.12,48084.375,-3.88,1363.2813
4.1,29815.625,4.1,10137.5,-3.9,747.2656,4.1,47843.75,-3.9,1283.2031
4.08,29737.5,4.08,10531.25,-3.92,709.375,4.08,47356.25,-3.92,1243.75
4.06,29062.5,4.06,10362.5,-3.94,642.9688,4.06,47106.25,-3.94,1276.9531
4.04,29493.75,4.04,10390.625,-3.96,724.6094,4.04,46790.625,-3.96,1185.1563
4.02,29678.125,4.02,10287.5,-3.98,660.1563,4.02,47200,-3.98,1228.125
4,30275,4,10375,-4,644.9219,4,47081.25,-4,1141.7969
3.98,30046.875,3.98,10253.125,-4.02,688.2813,3.98,47793.75,-4.02,1056.6406
3.96,29453.125,3.96,10296.875,-4.04,669.9219,3.96,47809.375,-4.04,1117.1875
3.94,29181.25,3.94,10350,-4.06,666.4063,3.94,46646.875,-4.06,1128.9063
3.92,29021.875,3.92,9987.5,-4.08,728.125,3.92,46950,-4.08,999.6094
3.9,28800,3.9,10265.625,-4.1,614.0625,3.9,47150,-4.1,1030.0781
3.88,29378.125,3.88,9759.375,-4.12,651.1719,3.88,46903.125,-4.12,987.8906
3.86,29009.375,3.86,9806.25,-4.14,638.6719,3.86,45840.625,-4.14,938.2813
3.84,28459.375,3.84,10181.25,-4.16,578.9063,3.84,46762.5,-4.16,978.125
3.82,29075,3.82,9815.625,-4.18,599.6094,3.82,46725,-4.18,1006.6406
3.8,28681.25,3.8,9821.875,-4.2,555.8594,3.8,46193.75,-4.2,922.2656
3.78,29440.625,3.78,9950,-4.22,579.6875,3.78,46415.625,-4.22,1071.4844
3.76,29003.125,3.76,10121.875,-4.24,500.7813,3.76,46959.375,-4.24,982.0313
3.74,29159.375,3.74,10037.5,-4.26,542.9688,3.74,47025,-4.26,838.2813
3.72,30000,3.72,10200,-4.28,472.6563,3.72,47159.375,-4.28,984.375
3.7,29018.75,3.7,10012.5,-4.3,504.2969,3.7,47659.375,-4.3,880.0781
3.68,29175,3.68,10212.5,-4.32,585.5469,3.68,47687.5,-4.32,799.2188
3.66,29353.125,3.66,10096.875,-4.34,569.5313,3.66,47365.625,-4.34,913.2813
3.64,29350,3.64,9903.125,-4.36,608.9844,3.64,47971.875,-4.36,842.5781
3.62,29212.5,3.62,10306.25,-4.38,518.3594,3.62,47543.75,-4.38,864.8438
3.6,30343.75,3.6,10196.875,-4.4,576.9531,3.6,47840.625,-4.4,912.1094
3.58,30215.625,3.58,9931.25,-4.42,499.6094,3.58,47525,-4.42,866.4063
3.56,29396.875,3.56,10096.875,-4.44,488.2813,3.56,47703.125,-4.44,762.1094
3.54,30206.25,3.54,9678.125,-4.46,523.0469,3.54,48006.25,-4.46,721.875
3.52,29834.375,3.52,10271.875,-4.48,513.6719,3.52,49184.375,-4.48,710.1563
3.5,30265.625,3.5,9990.625,-4.5,530.8594,3.5,48815.625,-4.5,641.0156
3.48,30159.375,3.48,10118.75,-4.52,457.8125,3.48,48815.625,-4.52,791.7969
3.46,30418.75,3.46,10178.125,-4.54,558.9844,3.46,48400,-4.54,726.5625
3.44,30281.25,3.44,10143.75,-4.56,548.8281,3.44,49106.25,-4.56,769.1406
3.42,29962.5,3.42,10081.25,-4.58,483.5938,3.42,48590.625,-4.58,878.5156
3.4,29893.75,3.4,10543.75,-4.6,500.7813,3.4,49043.75,-4.6,800
3.38,30171.875,3.38,10171.875,-4.62,455.4688,3.38,49475,-4.62,748.8281
3.36,30637.5,3.36,10115.625,-4.64,384.375,3.36,49100,-4.64,730.4688
3.34,31059.375,3.34,10143.75,-4.66,516.4063,3.34,49837.5,-4.66,634.7656
3.32,30812.5,3.32,10118.75,-4.68,478.5156,3.32,50300,-4.68,607.0313
3.3,31121.875,3.3,10137.5,-4.7,459.7656,3.3,49440.625,-4.7,670.3125
3.28,31715.625,3.28,9862.5,-4.72,518.3594,3.28,50540.625,-4.72,608.9844
3.26,31746.875,3.26,10259.375,-4.74,490.625,3.26,50190.625,-4.74,646.4844
3.24,31346.875,3.24,10071.875,-4.76,564.8438,3.24,50343.75,-4.76,652.3438
3.22,30881.25,3.22,9950,-4.78,534.375,3.22,51309.375,-4.78,643.75
3.2,31106.25,3.2,10359.375,-4.8,526.1719,3.2,50440.625,-4.8,699.6094
3.18,31500,3.18,9853.125,-4.82,581.6406,3.18,50884.375,-4.82,660.5469
3.16,31568.75,3.16,10006.25,-4.84,528.9063,3.16,50475,-4.84,653.9063
3.14,31903.125,3.14,9918.75,-4.86,454.6875,3.14,50784.375,-4.86,669.1406
3.12,31571.875,3.12,9740.625,-4.88,428.5156,3.12,51628.125,-4.88,612.8906
3.1,31909.375,3.1,10193.75,-4.9,496.0938,3.1,51975,-4.9,642.5781
3.08,31940.625,3.08,10512.5,-4.92,458.9844,3.08,51468.75,-4.92,592.5781
3.06,31431.25,3.06,10690.625,-4.94,486.7188,3.06,51796.875,-4.94,644.9219
3.04,32809.375,3.04,10109.375,-4.96,550.7813,3.04,52181.25,-4.96,620.7031
3.02,31331.25,3.02,10137.5,-4.98,432.4219,3.02,51778.125,-4.98,542.1875
3,32021.875,3,10496.875,-5,466.4063,3,51784.375,-5,602.3438
2.98,33040.625,2.98,10575,-5.02,491.7969,2.98,52596.875,-5.02,624.2188
2.96,31918.75,2.96,10428.125,-5.04,468.3594,2.96,52759.375,-5.04,580.8594
2.94,32181.25,2.94,10093.75,-5.06,471.875,2.94,53271.875,-5.06,580.4688
2.92,32890.625,2.92,9918.75,-5.08,485.5469,2.92,53268.75,-5.08,538.2813
2.9,32978.125,2.9,10268.75,-5.1,463.6719,2.9,52815.625,-5.1,525.7813
2.88,33262.5,2.88,10350,-5.12,475.7813,2.88,53709.375,-5.12,536.3281
2.86,32465.625,2.86,10837.5,-5.14,434.7656,2.86,52309.375,-5.14,562.1094
2.84,33181.25,2.84,10453.125,-5.16,467.9688,2.84,53496.875,-5.16,656.25
2.82,32406.25,2.82,10075,-5.18,453.9063,2.82,53250,-5.18,590.625
2.8,32934.375,2.8,10518.75,-5.2,532.8125,2.8,53928.125,-5.2,591.7969
2.78,32975,2.78,10568.75,-5.22,471.0938,2.78,53743.75,-5.22,616.4063
2.76,34400,2.76,10400,-5.24,548.0469,2.76,54153.125,-5.24,537.8906
2.74,34371.875,2.74,10834.375,-5.26,503.5156,2.74,53684.375,-5.26,594.5313
2.72,34356.25,2.72,10381.25,-5.28,416.7969,2.72,54431.25,-5.28,524.2188
2.7,33881.25,2.7,10412.5,-5.3,480.4688,2.7,53840.625,-5.3,593.3594
2.68,33625,2.68,10706.25,-5.32,407.8125,2.68,54178.125,-5.32,612.1094
2.66,34078.125,2.66,10487.5,-5.34,437.8906,2.66,54618.75,-5.34,525
2.64,34162.5,2.64,10712.5,-5.36,444.5313,2.64,54621.875,-5.36,650.3906
2.62,34415.625,2.62,10843.75,-5.38,538.2813,2.62,54506.25,-5.38,595.7031
2.6,34171.875,2.6,10453.125,-5.4,481.6406,2.6,55512.5,-5.4,569.5313
2.58,34806.25,2.58,10668.75,-5.42,485.9375,2.58,54390.625,-5.42,575.7813
2.56,34796.875,2.56,10225,-5.44,497.2656,2.56,55428.125,-5.44,540.625
2.54,35312.5,2.54,10318.75,-5.46,412.8906,2.54,54996.875,-5.46,595.3125
2.52,34768.75,2.52,10781.25,-5.48,460.1563,2.52,55346.875,-5.48,516.4063
2.5,34378.125,2.5,10656.25,-5.5,456.25,2.5,55440.625,-5.5,544.5313
2.48,35284.375,2.48,10646.875,-5.52,462.1094,2.48,55525,-5.52,571.4844
2.46,34893.75,2.46,10878.125,-5.54,462.8906,2.46,55618.75,-5.54,458.9844
2.44,34534.375,2.44,10743.75,-5.56,467.1875,2.44,54890.625,-5.56,578.125
2.42,34962.5,2.42,10571.875,-5.58,438.2813,2.42,55959.375,-5.58,551.1719
2.4,34943.75,2.4,10615.625,-5.6,456.25,2.4,55940.625,-5.6,498.4375
2.38,35712.5,2.38,10562.5,-5.62,409.375,2.38,56140.625,-5.62,596.875
2.36,35575,2.36,10784.375,-5.64,426.1719,2.36,55978.125,-5.64,511.7188
2.34,35790.625,2.34,10781.25,-5.66,411.3281,2.34,56253.125,-5.66,611.7188
2.32,35721.875,2.32,11037.5,-5.68,439.4531,2.32,56612.5,-5.68,557.8125
2.3,35437.5,2.3,10881.25,-5.7,488.2813,2.3,56068.75,-5.7,532.0313
2.28,35825,2.28,10618.75,-5.72,420.7031,2.28,56475,-5.72,510.9375
2.26,35843.75,2.26,10628.125,-5.74,485.9375,2.26,56425,-5.74,483.5938
2.24,35475,2.24,10506.25,-5.76,516.7969,2.24,57400,-5.76,609.375
2.22,36562.5,2.22,10534.375,-5.78,455.4688,2.22,56512.5,-5.78,510.9375
2.2,36575,2.2,11287.5,-5.8,503.9063,2.2,57121.875,-5.8,566.4063
2.18,36328.125,2.18,11190.625,-5.82,500.7813,2.18,55609.375,-5.82,591.7969
2.16,36281.25,2.16,11025,-5.84,461.3281,2.16,57768.75,-5.84,450.3906
2.14,36846.875,2.14,11287.5,-5.86,423.4375,2.14,57612.5,-5.86,551.9531
2.12,36368.75,2.12,10834.375,-5.88,514.4531,2.12,57740.625,-5.88,502.3438
2.1,36312.5,2.1,10628.125,-5.9,406.25,2.1,57556.25,-5.9,478.5156
2.08,37137.5,2.08,10312.5,-5.92,418.75,2.08,57153.125,-5.92,573.0469
2.06,37090.625,2.06,10693.75,-5.94,457.0313,2.06,57409.375,-5.94,500.3906
2.04,36431.25,2.04,10837.5,-5.96,431.6406,2.04,57684.375,-5.96,486.7188
2.02,37318.75,2.02,10556.25,-5.98,471.0938,2.02,57734.375,-5.98,478.125
2,36809.375,2,10434.375,-6,488.6719,2,58737.5,-6,515.625
1.98,36565.625,1.98,10946.875,-6.02,526.9531,1.98,57181.25,-6.02,475.3906
1.96,36821.875,1.96,10953.125,-6.04,412.1094,1.96,56615.625,-6.04,492.9688
1.94,37393.75,1.94,10587.5,-6.06,483.5938,1.94,57043.75,-6.06,580.0781
1.92,37221.875,1.92,11065.625,-6.08,427.3438,1.92,56950,-6.08,518.3594
1.9,37043.75,1.9,10528.125,-6.1,383.5938,1.9,58456.25,-6.1,575
1.88,37875,1.88,10584.375,-6.12,435.1563,1.88,59006.25,-6.12,565.2344
1.86,37353.125,1.86,10725,-6.14,475.7813,1.86,57940.625,-6.14,496.0938
1.84,36834.375,1.84,10534.375,-6.16,447.2656,1.84,58084.375,-6.16,489.0625
1.82,36906.25,1.82,10634.375,-6.18,511.7188,1.82,56921.875,-6.18,536.3281
1.8,37715.625,1.8,10584.375,-6.2,484.7656,1.8,57896.875,-6.2,574.2188
1.78,36475,1.78,10353.125,-6.22,455.0781,1.78,58112.5,-6.22,538.2813
1.76,36653.125,1.76,10362.5,-6.24,430.0781,1.76,57156.25,-6.24,564.0625
1.74,37659.375,1.74,10596.875,-6.26,419.1406,1.74,57759.375,-6.26,483.5938
1.72,37628.125,1.72,10428.125,-6.28,451.9531,1.72,57550,-6.28,475.3906
1.7,37265.625,1.7,10684.375,-6.3,454.2969,1.7,57428.125,-6.3,529.6875
1.68,36703.125,1.68,10512.5,-6.32,426.9531,1.68,57625,-6.32,479.6875
1.66,36946.875,1.66,10103.125,-6.34,480.8594,1.66,57093.75,-6.34,506.6406
1.64,36993.75,1.64,10878.125,-6.36,434.7656,1.64,57621.875,-6.36,559.7656
1.62,37812.5,1.62,10637.5,-6.38,463.6719,1.62,57209.375,-6.38,481.6406
1.6,36768.75,1.6,10640.625,-6.4,527.7344,1.6,56781.25,-6.4,458.2031
1.58,37090.625,1.58,10221.875,-6.42,394.5313,1.58,57575,-6.42,507.4219
1.56,36725,1.56,10225,-6.44,503.9063,1.56,56962.5,-6.44,462.8906
1.54,36934.375,1.54,10234.375,-6.46,398.4375,1.54,57928.125,-6.46,490.625
1.52,36953.125,1.52,10528.125,-6.48,420.7031,1.52,57546.875,-6.48,576.9531
1.5,37121.875,1.5,10340.625,-6.5,481.25,1.5,57281.25,-6.5,503.9063
1.48,36906.25,1.48,10078.125,-6.52,478.125,1.48,57587.5,-6.52,528.125
1.46,36890.625,1.46,10503.125,-6.54,530.8594,1.46,56656.25,-6.54,555.8594
1.44,37587.5,1.44,10343.75,-6.56,472.6563,1.44,56656.25,-6.56,477.3438
1.42,36887.5,1.42,10271.875,-6.58,395.7031,1.42,57709.375,-6.58,556.25
1.4,37481.25,1.4,10625,-6.6,402.7344,1.4,57368.75,-6.6,432.0313
1.38,36990.625,1.38,10168.75,-6.62,387.5,1.38,56690.625,-6.62,432.8125
1.36,36943.75,1.36,10265.625,-6.64,395.7031,1.36,56987.5,-6.64,523.8281
1.34,36684.375,1.34,10137.5,-6.66,485.9375,1.34,56384.375,-6.66,524.6094
1.32,37112.5,1.32,9912.5,-6.68,450.3906,1.32,57450,-6.68,553.9063
1.3,36890.625,1.3,10362.5,-6.7,435.5469,1.3,56531.25,-6.7,514.4531
1.28,36228.125,1.28,10075,-6.72,518.75,1.28,56921.875,-6.72,518.75
1.26,36331.25,1.26,10125,-6.74,529.2969,1.26,57090.625,-6.74,560.5469
1.24,36931.25,1.24,9737.5,-6.76,453.5156,1.24,57034.375,-6.76,465.625
1.22,37206.25,1.22,9837.5,-6.78,504.6875,1.22,56225,-6.78,552.3438
1.2,36615.625,1.2,10034.375,-6.8,456.6406,1.2,57256.25,-6.8,466.4063
1.18,36962.5,1.18,10284.375,-6.82,445.7031,1.18,56909.375,-6.82,521.4844
1.16,36593.75,1.16,9593.75,-6.84,541.0156,1.16,56593.75,-6.84,585.9375
1.14,36393.75,1.14,9878.125,-6.86,449.2188,1.14,56162.5,-6.86,525.7813
