"wavelength (nm)",0,50,100,150,200,250,300,350,400,450,500,550,600,650,700,0_r
467,1.122601,1.121449,1.12091,1.12189,1.121999,1.122446,1.123894,1.124112,1.123073,1.123403,1.124802,1.124005,1.123489,1.123738,1.123714,1.123082
468,1.123165,1.124904,1.122632,1.123353,1.12364,1.123414,1.123393,1.124259,1.122942,1.124357,1.124953,1.123738,1.123827,1.124488,1.125526,1.121998
469,1.124497,1.123218,1.121711,1.121456,1.123418,1.123358,1.122485,1.124936,1.123214,1.125549,1.124573,1.122246,1.123465,1.124554,1.125059,1.122396
470,1.124016,1.124054,1.122328,1.121774,1.122018,1.123594,1.124099,1.123678,1.123934,1.123654,1.123821,1.124209,1.122039,1.123619,1.124922,1.122683
471,1.124122,1.122119,1.121762,1.121766,1.122008,1.123642,1.123872,1.124381,1.123652,1.123909,1.124213,1.124009,1.125381,1.124628,1.123316,1.12329
472,1.125228,1.124456,1.123936,1.123207,1.125682,1.125992,1.124423,1.124666,1.124805,1.124632,1.125127,1.127255,1.12436,1.126438,1.126019,1.125201
473,1.125333,1.125309,1.125252,1.12719,1.123673,1.126218,1.125344,1.126508,1.126404,1.126527,1.125342,1.126421,1.125956,1.126935,1.128539,1.124243
474,1.125903,1.127181,1.126944,1.125461,1.12643,1.127414,1.127164,1.127042,1.126237,1.12599,1.126888,1.127211,1.12643,1.127171,1.127489,1.126622
475,1.127558,1.129249,1.126309,1.125239,1.126422,1.127879,1.12722,1.12836,1.128134,1.128636,1.128193,1.128265,1.127895,1.128151,1.128523,1.128042
476,1.129137,1.129175,1.128118,1.127305,1.128148,1.126961,1.128722,1.128275,1.127435,1.127889,1.12964,1.12772,1.128567,1.129191,1.129687,1.128195
477,1.129164,1.12983,1.128228,1.130127,1.127732,1.130212,1.130014,1.130151,1.129164,1.129612,1.130932,1.129929,1.131361,1.131173,1.13001,1.12923
478,1.133061,1.130168,1.12964,1.13096,1.130321,1.130912,1.131502,1.131675,1.131348,1.132363,1.131029,1.13341,1.132086,1.132932,1.131892,1.13038
479,1.131506,1.132357,1.130468,1.133336,1.131014,1.131586,1.133233,1.131575,1.132094,1.133859,1.131703,1.132495,1.133798,1.133899,1.132887,1.13066
480,1.133238,1.13291,1.132962,1.131571,1.132719,1.132513,1.133686,1.132009,1.13381,1.133398,1.133407,1.133901,1.133211,1.134421,1.134669,1.131924
481,1.136162,1.135168,1.133986,1.134094,1.134165,1.134936,1.134112,1.136201,1.136514,1.13429,1.135178,1.134186,1.133936,1.136464,1.13554,1.133564
482,1.137486,1.136284,1.135626,1.136274,1.13634,1.136142,1.136766,1.137414,1.137725,1.137126,1.135913,1.136529,1.136835,1.137697,1.136984,1.136157
483,1.137193,1.137655,1.135305,1.137933,1.137286,1.139871,1.138868,1.138975,1.139384,1.137415,1.138007,1.138329,1.139322,1.138364,1.13994,1.137366
484,1.140468,1.137873,1.139328,1.138885,1.139027,1.139386,1.13992,1.139987,1.139979,1.139695,1.141319,1.141166,1.138952,1.140965,1.138238,1.137436
485,1.140084,1.137738,1.139314,1.139868,1.139663,1.140708,1.142164,1.141485,1.140014,1.140769,1.142574,1.141666,1.14196,1.1422,1.1407,1.141156
486,1.140869,1.142101,1.139132,1.142125,1.141222,1.142349,1.141562,1.14277,1.141101,1.143381,1.142518,1.142954,1.142385,1.141625,1.142425,1.141853
487,1.142771,1.140843,1.140249,1.139441,1.142063,1.142321,1.141987,1.141023,1.14171,1.142803,1.142812,1.144062,1.142087,1.142333,1.144598,1.142465
488,1.143387,1.143592,1.14414,1.142068,1.142949,1.1453,1.145407,1.144379,1.144626,1.142634,1.145183,1.145256,1.144992,1.144384,1.143679,1.144277
489,1.143507,1.14282,1.142592,1.143162,1.143698,1.143627,1.14458,1.144497,1.146392,1.144409,1.14392,1.144029,1.146128,1.146134,1.14712,1.144655
490,1.14705,1.143742,1.145604,1.145543,1.144653,1.145037,1.147293,1.145804,1.147189,1.146631,1.146855,1.147458,1.147033,1.145587,1.146943,1.144599
491,1.147552,1.14557,1.147339,1.147027,1.147803,1.146672,1.148482,1.14623,1.148336,1.148598,1.146272,1.148614,1.147197,1.147326,1.147733,1.147109
492,1.148105,1.148506,1.147297,1.146902,1.146835,1.148281,1.148002,1.148383,1.148008,1.148435,1.149831,1.148955,1.14918,1.147758,1.152075,1.148157
493,1.14995,1.148429,1.149152,1.146045,1.148728,1.149542,1.151655,1.149904,1.147764,1.149033,1.149253,1.149718,1.15112,1.149675,1.1503,1.148308
494,1.149398,1.150272,1.150244,1.148181,1.149817,1.149968,1.149664,1.150643,1.149299,1.150472,1.149261,1.149864,1.149636,1.151047,1.15155,1.148788
495,1.151453,1.149206,1.1499,1.150519,1.14827,1.151055,1.15148,1.150551,1.151365,1.150509,1.152485,1.150937,1.152196,1.152282,1.153142,1.14875
496,1.151591,1.148745,1.148349,1.150901,1.149322,1.150401,1.152058,1.150037,1.15251,1.151821,1.151234,1.151753,1.151387,1.151142,1.153252,1.150127
497,1.152514,1.152127,1.150652,1.152041,1.152772,1.152566,1.152523,1.153435,1.153279,1.153153,1.152651,1.153078,1.154587,1.154057,1.152461,1.151933
498,1.151047,1.150574,1.14967,1.149818,1.152979,1.150657,1.150772,1.152765,1.15292,1.152753,1.152673,1.152859,1.152071,1.15195,1.152726,1.1508
499,1.153549,1.152154,1.151803,1.152198,1.151606,1.153338,1.154577,1.154512,1.154145,1.154311,1.154223,1.155418,1.154919,1.153694,1.155072,1.151859
500,1.152968,1.152682,1.153197,1.15261,1.154214,1.154582,1.15418,1.153271,1.152831,1.153479,1.153437,1.155043,1.152989,1.153757,1.153963,1.151103
501,1.154764,1.153049,1.152686,1.152867,1.15221,1.153403,1.153391,1.152403,1.154731,1.154381,1.154104,1.155442,1.154474,1.153952,1.155511,1.153094
502,1.152676,1.153691,1.152046,1.153604,1.153811,1.156024,1.1543,1.154375,1.155578,1.154709,1.155728,1.154935,1.156246,1.154528,1.155358,1.150593
503,1.152529,1.152611,1.153387,1.152525,1.154151,1.153556,1.154342,1.153897,1.153571,1.155379,1.156891,1.157014,1.155861,1.156458,1.155222,1.151445
504,1.153235,1.151783,1.150908,1.152974,1.154348,1.153613,1.154042,1.154047,1.154936,1.154073,1.154187,1.155785,1.155638,1.15437,1.155921,1.151966
505,1.153134,1.152919,1.151833,1.152666,1.153751,1.152745,1.153315,1.154422,1.15495,1.153732,1.154858,1.153895,1.155496,1.154369,1.154165,1.15137
506,1.153179,1.152334,1.151786,1.153675,1.152988,1.153076,1.152356,1.154282,1.153649,1.155432,1.155417,1.155584,1.154575,1.156709,1.154424,1.151744
507,1.153891,1.153306,1.152339,1.152645,1.152026,1.153285,1.153582,1.153893,1.152826,1.153854,1.153095,1.155787,1.153845,1.154793,1.154912,1.149472
508,1.152052,1.152355,1.152718,1.152827,1.154158,1.153667,1.153579,1.155455,1.153003,1.154238,1.155696,1.155498,1.155086,1.156708,1.155413,1.150633
509,1.15177,1.151734,1.151135,1.152285,1.153664,1.153535,1.15362,1.15407,1.153799,1.15387,1.154262,1.154919,1.155808,1.154759,1.156414,1.151013
510,1.149421,1.150485,1.149075,1.15183,1.150918,1.150837,1.151852,1.153658,1.152521,1.152197,1.153431,1.153746,1.153989,1.153076,1.155641,1.150409
511,1.150362,1.152019,1.150129,1.151122,1.150622,1.150047,1.150633,1.151402,1.150288,1.154341,1.154875,1.153211,1.151142,1.155552,1.152737,1.149028
512,1.148928,1.149927,1.14787,1.14885,1.149535,1.151315,1.152645,1.151018,1.153701,1.151663,1.152937,1.151373,1.152577,1.15247,1.15262,1.146879
513,1.148068,1.148459,1.146445,1.146636,1.149071,1.150285,1.148757,1.151254,1.150995,1.150946,1.149798,1.151667,1.151527,1.15166,1.15332,1.146319
514,1.146398,1.147989,1.148259,1.148396,1.147608,1.150278,1.150581,1.151467,1.150993,1.150209,1.150751,1.152674,1.153639,1.152376,1.152478,1.147566
515,1.146285,1.146196,1.146886,1.147252,1.146487,1.147282,1.147981,1.150523,1.148433,1.148935,1.14786,1.1489,1.151341,1.150373,1.149705,1.145545
516,1.146291,1.144929,1.144482,1.145171,1.147202,1.147289,1.145961,1.145922,1.146964,1.148687,1.148238,1.148316,1.150491,1.147951,1.147504,1.144771
517,1.14544,1.142125,1.145275,1.146808,1.146215,1.1475,1.147871,1.147319,1.148003,1.147966,1.148081,1.148566,1.148579,1.151796,1.149567,1.141346
518,1.143776,1.142991,1.143806,1.143525,1.143524,1.145844,1.146388,1.146555,1.14705,1.147702,1.146329,1.148643,1.147334,1.149667,1.148717,1.142388
519,1.141185,1.13908,1.142395,1.141896,1.142887,1.143415,1.144277,1.144614,1.146154,1.146818,1.147563,1.147401,1.147585,1.147448,1.146345,1.139704
520,1.140246,1.139876,1.139985,1.140755,1.140327,1.143088,1.143482,1.141987,1.144982,1.144913,1.144165,1.144681,1.143074,1.144553,1.144821,1.13879
521,1.138086,1.137681,1.138463,1.139024,1.142785,1.141186,1.141479,1.142121,1.142542,1.143579,1.144376,1.144733,1.146688,1.14427,1.145589,1.136609
522,1.137761,1.139109,1.139105,1.137489,1.140715,1.139522,1.139798,1.141788,1.142217,1.142699,1.143332,1.142837,1.142444,1.145243,1.14481,1.136084
523,1.135774,1.134263,1.136569,1.136698,1.137688,1.138562,1.139403,1.139401,1.13949,1.142059,1.141608,1.14085,1.141129,1.141853,1.142583,1.132586
524,1.133272,1.133984,1.133971,1.134704,1.138006,1.139003,1.140041,1.138998,1.139136,1.139307,1.140053,1.140142,1.138578,1.142077,1.1401,1.133019
525,1.132968,1.132075,1.132209,1.134122,1.135501,1.13649,1.139009,1.136825,1.139219,1.139925,1.137851,1.136804,1.140017,1.138216,1.139564,1.13136
526,1.130879,1.130507,1.130735,1.132789,1.134004,1.134784,1.135413,1.137254,1.136055,1.136771,1.136625,1.137383,1.139023,1.139181,1.137646,1.129486
527,1.128183,1.128103,1.12928,1.133013,1.133738,1.132466,1.133402,1.136105,1.135735,1.135937,1.135789,1.135929,1.135678,1.136137,1.138059,1.127934
528,1.12862,1.126776,1.128562,1.130108,1.130608,1.130579,1.13387,1.132899,1.133039,1.134125,1.133556,1.134135,1.136211,1.136013,1.134754,1.126295
529,1.126592,1.124799,1.124911,1.126282,1.128568,1.131871,1.129762,1.13199,1.133304,1.134349,1.133067,1.13397,1.134943,1.134506,1.135044,1.12308
530,1.124237,1.125271,1.126413,1.127278,1.128905,1.128421,1.130449,1.132282,1.132083,1.130407,1.130266,1.132532,1.133005,1.133716,1.134146,1.122704
531,1.12291,1.123311,1.123252,1.125879,1.126955,1.126639,1.128853,1.131093,1.129559,1.129086,1.132253,1.13205,1.129499,1.13403,1.132115,1.121198
532,1.122598,1.123004,1.122522,1.123943,1.126474,1.128533,1.128305,1.129544,1.126971,1.13094,1.130521,1.130803,1.130707,1.130308,1.131692,1.120226
533,1.120344,1.120365,1.120287,1.123278,1.125734,1.124616,1.126791,1.128238,1.12852,1.130822,1.129085,1.130059,1.129833,1.129851,1.128472,1.116632
534,1.118485,1.12051,1.119779,1.12192,1.12416,1.124902,1.125258,1.126815,1.126958,1.127672,1.130645,1.128711,1.129966,1.129022,1.127668,1.119319
535,1.117602,1.11777,1.117814,1.120648,1.122271,1.124851,1.12468,1.12641,1.124722,1.127914,1.123826,1.127231,1.126854,1.127765,1.127296,1.115096
536,1.115185,1.117411,1.119401,1.120438,1.120592,1.122615,1.126668,1.125299,1.124546,1.126536,1.125629,1.128855,1.128415,1.12955,1.128148,1.115294
537,1.147563,1.145541,1.147041,1.149469,1.150867,1.153564,1.154863,1.155665,1.156387,1.154092,1.156642,1.157498,1.157755,1.159322,1.15791,1.143702
538,1.145074,1.14484,1.145051,1.146882,1.147624,1.1517,1.153591,1.154231,1.155672,1.156215,1.15519,1.158633,1.157367,1.157069,1.157717,1.142043
539,1.144256,1.142245,1.145563,1.146936,1.148752,1.15056,1.152108,1.152327,1.152521,1.15565,1.155516,1.156095,1.155456,1.155047,1.158173,1.141216
540,1.142346,1.141927,1.143735,1.145598,1.14645,1.148873,1.151444,1.151947,1.15281,1.154708,1.156468,1.154393,1.156714,1.156667,1.156737,1.13927
541,1.138469,1.139481,1.139042,1.142194,1.144859,1.146157,1.147983,1.148653,1.148195,1.150089,1.151862,1.151519,1.154062,1.154589,1.154204,1.137065
542,1.138159,1.135091,1.136715,1.140766,1.141213,1.143339,1.146532,1.148179,1.147616,1.150722,1.151242,1.150816,1.150403,1.151955,1.15142,1.136611
543,1.135023,1.136792,1.137123,1.138515,1.14214,1.143462,1.145157,1.146392,1.147597,1.14697,1.148464,1.14929,1.150155,1.150674,1.151108,1.131363
544,1.134987,1.135928,1.136478,1.138282,1.141832,1.141518,1.144212,1.145181,1.146469,1.147063,1.149173,1.150149,1.150373,1.149977,1.151088,1.131927
545,1.131206,1.132799,1.133654,1.136923,1.138247,1.141381,1.142786,1.141837,1.144913,1.145875,1.146567,1.147087,1.146507,1.150598,1.149171,1.129372
546,1.129266,1.130835,1.133759,1.135347,1.137335,1.13926,1.140731,1.143286,1.144053,1.145777,1.144715,1.147421,1.147014,1.14746,1.149859,1.129719
547,1.127178,1.128625,1.131257,1.134173,1.134591,1.138638,1.140719,1.142708,1.142929,1.144148,1.144902,1.146013,1.1466,1.146876,1.147141,1.128962
548,1.12703,1.127123,1.129012,1.131028,1.133428,1.136829,1.137743,1.139459,1.140936,1.140872,1.142927,1.143502,1.144279,1.145505,1.145918,1.125483
549,1.127025,1.125159,1.126987,1.131985,1.133674,1.134807,1.137356,1.140081,1.140674,1.141424,1.14093,1.144252,1.144099,1.143754,1.145454,1.123116
550,1.124714,1.12495,1.126378,1.12944,1.133475,1.133254,1.137508,1.13896,1.137819,1.140345,1.140939,1.139937,1.14264,1.143329,1.14551,1.1231
551,1.124153,1.122537,1.124524,1.127039,1.130641,1.133,1.137226,1.136358,1.138564,1.139964,1.140186,1.141643,1.141338,1.146807,1.142368,1.123106
552,1.125129,1.12286,1.125358,1.128232,1.130839,1.133053,1.136598,1.136152,1.138496,1.140746,1.14085,1.142781,1.141314,1.144623,1.141839,1.119019
553,1.123618,1.120404,1.124974,1.126913,1.128949,1.132618,1.131633,1.137735,1.138859,1.137889,1.141364,1.141448,1.141612,1.14255,1.143753,1.119074
554,1.120674,1.119574,1.121977,1.124862,1.128079,1.13249,1.132258,1.134571,1.136649,1.136951,1.140601,1.140386,1.138971,1.139163,1.141549,1.119026
555,1.119944,1.120936,1.122428,1.123425,1.126217,1.129857,1.133543,1.134427,1.134547,1.137051,1.138438,1.140542,1.138848,1.140573,1.143344,1.115797
556,1.117136,1.116647,1.118879,1.124336,1.125221,1.126013,1.129145,1.132945,1.133561,1.134168,1.136475,1.13742,1.13933,1.138192,1.140537,1.114575
557,1.116771,1.115843,1.12012,1.12123,1.123736,1.125695,1.128727,1.130396,1.134711,1.135784,1.135817,1.138121,1.138102,1.138255,1.14039,1.112994
558,1.116706,1.115383,1.118822,1.120088,1.12509,1.126219,1.129534,1.13287,1.133208,1.137013,1.136483,1.138535,1.139753,1.138974,1.140526,1.113805
559,1.11816,1.119217,1.119018,1.122839,1.124339,1.13031,1.132619,1.134686,1.135562,1.136295,1.137695,1.139022,1.138991,1.14287,1.14248,1.114671
560,1.118131,1.117146,1.12056,1.121904,1.125887,1.129861,1.131543,1.133958,1.136269,1.136659,1.139555,1.140055,1.141976,1.141403,1.142791,1.112986
561,1.118805,1.118916,1.121748,1.124369,1.127581,1.131259,1.132611,1.134686,1.13686,1.137716,1.14217,1.141997,1.143246,1.147144,1.145314,1.113427
562,1.120111,1.11961,1.119422,1.124204,1.127568,1.131823,1.13407,1.135546,1.138498,1.140771,1.141488,1.143345,1.146022,1.147163,1.145532,1.114674
563,1.120534,1.11892,1.122409,1.126404,1.130994,1.131312,1.136635,1.137937,1.13974,1.142496,1.143023,1.145384,1.145639,1.147701,1.150238,1.115352
564,1.120073,1.119996,1.122969,1.127336,1.131062,1.133324,1.135626,1.139369,1.141746,1.143924,1.143566,1.147641,1.145755,1.147642,1.149819,1.114619
565,1.119194,1.119355,1.1207,1.125703,1.130328,1.132195,1.137289,1.137591,1.142271,1.143168,1.145417,1.144952,1.149351,1.148615,1.149457,1.115919
566,1.119209,1.122598,1.122315,1.127044,1.130811,1.133474,1.136705,1.14101,1.141553,1.143676,1.144991,1.145899,1.148043,1.149559,1.150835,1.117236
567,1.119439,1.119294,1.121897,1.125395,1.129998,1.134277,1.134534,1.139564,1.141801,1.141665,1.144303,1.14438,1.148045,1.14973,1.147588,1.113845
568,1.115992,1.115622,1.120122,1.12428,1.129993,1.132083,1.135491,1.135554,1.140644,1.143776,1.143278,1.1456,1.146408,1.150918,1.149471,1.11278
569,1.114802,1.115637,1.120044,1.12244,1.127166,1.13028,1.13481,1.13933,1.140561,1.142263,1.1465,1.145404,1.145838,1.149749,1.150918,1.113069
570,1.116433,1.114282,1.119043,1.12245,1.124528,1.129179,1.131755,1.135906,1.138447,1.142679,1.142067,1.147085,1.147927,1.149551,1.148584,1.109811
571,1.111733,1.112039,1.114637,1.11911,1.122307,1.127925,1.129874,1.131012,1.13349,1.136317,1.139873,1.143671,1.143399,1.144914,1.145972,1.107102
572,1.108585,1.108808,1.113918,1.116312,1.120468,1.124342,1.128753,1.13207,1.133888,1.13661,1.138721,1.140368,1.142772,1.14459,1.145982,1.106881
573,1.109171,1.109859,1.113142,1.118488,1.124137,1.127527,1.130929,1.132761,1.136043,1.137754,1.141309,1.142136,1.144433,1.146031,1.146525,1.10785
574,1.111392,1.109468,1.113264,1.118597,1.12222,1.124547,1.128974,1.132914,1.135997,1.137791,1.140231,1.143245,1.145804,1.147464,1.147988,1.104807
575,1.11054,1.111383,1.11708,1.118809,1.122877,1.125872,1.131019,1.134766,1.138649,1.140372,1.141291,1.142985,1.145719,1.146928,1.146618,1.107901
576,1.110069,1.110561,1.113048,1.1166,1.121465,1.125686,1.12853,1.131747,1.136604,1.139125,1.140617,1.144315,1.146759,1.147191,1.14993,1.105566
577,1.109272,1.109855,1.112786,1.117025,1.120557,1.125399,1.129004,1.130675,1.135355,1.139291,1.141285,1.144177,1.145191,1.146948,1.149253,1.105516
578,1.109265,1.10662,1.112257,1.115279,1.119444,1.123343,1.127197,1.131451,1.134018,1.137912,1.139709,1.142532,1.143757,1.146871,1.14859,1.103756
579,1.103714,1.105594,1.108646,1.11228,1.116708,1.120915,1.126362,1.128513,1.131127,1.135432,1.137662,1.140236,1.141444,1.144676,1.14587,1.099255
580,1.101076,1.101939,1.106277,1.110421,1.114258,1.118478,1.122633,1.124388,1.128312,1.131043,1.133428,1.136091,1.138154,1.141366,1.142709,1.097175
581,1.097117,1.096811,1.101011,1.105771,1.110227,1.114556,1.118513,1.122582,1.125836,1.127819,1.130957,1.132324,1.134778,1.138308,1.139835,1.093303
582,1.095939,1.094789,1.0984,1.103666,1.107351,1.111011,1.116354,1.120241,1.123511,1.125445,1.128656,1.131354,1.133194,1.134166,1.137867,1.0907
583,1.092434,1.093348,1.098271,1.101773,1.107332,1.111024,1.113554,1.118609,1.122559,1.124533,1.129123,1.130754,1.131945,1.134165,1.135981,1.090726
584,1.091355,1.092913,1.094791,1.100885,1.103934,1.107965,1.112535,1.117109,1.12078,1.122337,1.124917,1.127633,1.129773,1.133694,1.134606,1.08725
585,1.088514,1.088547,1.093648,1.096276,1.101162,1.106099,1.110216,1.115476,1.116651,1.122219,1.123882,1.126292,1.129826,1.131777,1.130979,1.084432
586,1.087889,1.085437,1.089372,1.095157,1.099643,1.104089,1.108136,1.111088,1.115709,1.116454,1.122618,1.122969,1.126774,1.128319,1.130708,1.081555
587,1.082897,1.083685,1.087233,1.091877,1.09603,1.099633,1.1056,1.108048,1.112433,1.116675,1.118549,1.122001,1.125364,1.125782,1.1272,1.079799
588,1.079622,1.080038,1.08352,1.088962,1.092367,1.098724,1.101247,1.105347,1.107797,1.112493,1.115085,1.117509,1.121482,1.123488,1.125726,1.074199
589,1.075908,1.076257,1.081168,1.083411,1.089398,1.091889,1.098497,1.101658,1.1041,1.108338,1.111233,1.115139,1.117827,1.120454,1.12128,1.070956
590,1.071907,1.071394,1.074935,1.080316,1.085677,1.088748,1.093297,1.096762,1.102196,1.105485,1.108505,1.111863,1.115086,1.115463,1.118759,1.070416
591,1.068944,1.06896,1.070607,1.077058,1.080598,1.085507,1.088364,1.094365,1.097165,1.101448,1.104285,1.107723,1.109056,1.111586,1.11277,1.065306
592,1.065245,1.06489,1.068553,1.072118,1.075975,1.080856,1.085779,1.089147,1.093371,1.096529,1.099242,1.101632,1.105786,1.106973,1.109921,1.060111
593,1.061152,1.059773,1.064501,1.067955,1.073151,1.075516,1.079313,1.084791,1.087953,1.091449,1.095624,1.098652,1.101579,1.104437,1.104937,1.056515
594,1.057742,1.056408,1.060281,1.06289,1.068,1.072689,1.075502,1.080009,1.084966,1.089546,1.089911,1.093961,1.096877,1.099991,1.103818,1.052015
595,1.052202,1.051642,1.05519,1.059467,1.065192,1.068903,1.073365,1.078505,1.079725,1.083548,1.087569,1.090765,1.093843,1.096675,1.100111,1.048397
596,1.050042,1.049246,1.053828,1.057058,1.060995,1.06583,1.070094,1.074586,1.07781,1.080172,1.085045,1.08756,1.091855,1.093365,1.095412,1.044079
597,1.047941,1.047328,1.050769,1.055789,1.059691,1.06342,1.066836,1.07178,1.075048,1.078996,1.083398,1.086353,1.08904,1.091833,1.093112,1.043275
598,1.044716,1.043411,1.046207,1.052025,1.054202,1.060019,1.065798,1.070976,1.072342,1.0752,1.080034,1.085251,1.08555,1.089048,1.090483,1.038353
599,1.041827,1.042781,1.047051,1.047343,1.052993,1.056428,1.062025,1.066396,1.069193,1.072731,1.076991,1.080664,1.084233,1.087762,1.086824,1.036852
600,1.038906,1.038397,1.042313,1.044238,1.049721,1.053316,1.057867,1.061254,1.066453,1.06886,1.072531,1.07682,1.079708,1.084107,1.086248,1.034716
601,1.037653,1.036775,1.03854,1.044008,1.048117,1.051963,1.054998,1.059404,1.065665,1.068492,1.071926,1.074724,1.078761,1.080787,1.083035,1.031517
602,1.033373,1.033404,1.037445,1.04006,1.046602,1.048226,1.054373,1.057022,1.060839,1.065071,1.069639,1.07141,1.076634,1.078754,1.08148,1.029054
603,1.032751,1.030837,1.034114,1.039576,1.04171,1.047071,1.051477,1.055637,1.059859,1.062277,1.065744,1.069374,1.072519,1.075729,1.080529,1.026538
604,1.028368,1.027897,1.032357,1.035566,1.03786,1.043021,1.0482,1.054042,1.054238,1.061613,1.064395,1.068915,1.069858,1.073612,1.074258,1.024119
605,1.026785,1.025002,1.028837,1.031787,1.037467,1.040501,1.045433,1.048205,1.052653,1.056481,1.061237,1.06509,1.069739,1.07103,1.072364,1.022147
606,1.020733,1.022446,1.024679,1.029,1.032212,1.036551,1.041257,1.044357,1.048877,1.052943,1.056532,1.060931,1.064686,1.067066,1.0679,1.017556
607,1.018179,1.018301,1.019653,1.022106,1.028732,1.032742,1.036631,1.041698,1.043863,1.050647,1.05165,1.056156,1.059971,1.063753,1.063929,1.01276
608,1.014266,1.013266,1.015811,1.021222,1.025658,1.030404,1.032802,1.036322,1.04139,1.04466,1.046358,1.050908,1.055267,1.059122,1.060943,1.008243
609,1.00975,1.011336,1.014453,1.016988,1.021579,1.024804,1.030299,1.032391,1.039395,1.040656,1.045109,1.048423,1.051916,1.054981,1.057509,1.008227
610,1.007683,1.005507,1.01041,1.01344,1.016995,1.020707,1.025256,1.029773,1.032636,1.03683,1.038914,1.045944,1.04765,1.051198,1.05355,1.001978
611,1.003297,1.002595,1.00467,1.009343,1.012658,1.016519,1.020718,1.024403,1.02875,1.032882,1.035794,1.039656,1.044142,1.048751,1.048573,0.999153
612,0.999076,0.998665,1.004011,1.006166,1.008736,1.011359,1.017074,1.019926,1.024164,1.027668,1.032924,1.036137,1.041103,1.042763,1.046034,0.994556
613,0.995207,0.99271,0.996796,0.998539,1.004182,1.007251,1.011476,1.017447,1.019686,1.023821,1.025195,1.030952,1.034289,1.038283,1.039577,0.988803
614,0.990312,0.991197,0.993811,0.994471,0.997281,1.002472,1.008141,1.011109,1.014263,1.018834,1.022316,1.026802,1.02969,1.03176,1.035241,0.98511
615,0.986211,0.985581,0.985687,0.993577,0.994297,0.998818,1.001668,1.006629,1.010155,1.012639,1.018515,1.022507,1.025538,1.029073,1.03025,0.981004
616,0.98161,0.980628,0.982354,0.986759,0.990894,0.992665,0.99742,1.000954,1.004908,1.008505,1.01242,1.016638,1.019246,1.025753,1.024769,0.976732
617,0.977341,0.976038,0.977602,0.98153,0.985963,0.988968,0.994269,0.994415,1.000128,1.004765,1.009029,1.01152,1.016123,1.020174,1.021495,0.97254
618,0.97252,0.972342,0.973785,0.976233,0.980113,0.984835,0.988535,0.992527,0.994667,0.999004,1.003733,1.006686,1.012164,1.014753,1.015041,0.969615
619,0.970584,0.970506,0.97147,0.975177,0.976632,0.981208,0.984985,0.988378,0.99362,0.995529,0.998049,1.00264,1.006969,1.009876,1.013141,0.96554
620,0.967503,0.965326,0.969301,0.970313,0.97272,0.975535,0.981843,0.984442,0.989225,0.991779,0.996821,0.9998,1.003743,1.009452,1.009102,0.961565
621,0.963528,0.963498,0.965263,0.96681,0.970396,0.974052,0.976862,0.981156,0.983824,0.990013,0.994079,0.996899,1.000405,1.00244,1.006303,0.958727
622,0.962786,0.959708,0.963642,0.96301,0.96847,0.970896,0.976636,0.977396,0.980816,0.984835,0.988031,0.993318,0.996659,1.000519,1.003736,0.955976
623,0.957576,0.95675,0.960366,0.962981,0.963938,0.966463,0.970976,0.976066,0.978056,0.983076,0.986284,0.991151,0.99496,0.994696,0.998645,0.951057
624,0.953395,0.952998,0.954455,0.957795,0.96112,0.963663,0.967346,0.969626,0.973539,0.977936,0.981922,0.986674,0.988302,0.993137,0.995531,0.949613
625,0.951514,0.950139,0.953001,0.954129,0.956869,0.959339,0.963945,0.968439,0.970351,0.97405,0.977408,0.981574,0.987125,0.990647,0.991867,0.947626
626,0.945854,0.947567,0.950136,0.950088,0.95325,0.957276,0.959804,0.963753,0.968284,0.971492,0.975773,0.977916,0.980868,0.986433,0.987479,0.944304
627,0.945899,0.94458,0.945462,0.948376,0.949969,0.950949,0.957053,0.960647,0.964186,0.968674,0.971864,0.974785,0.978947,0.978933,0.984,0.938622
628,0.941181,0.938651,0.940676,0.944208,0.946209,0.948543,0.953283,0.956015,0.960336,0.964458,0.966332,0.97027,0.971813,0.977948,0.980551,0.935775
629,0.937711,0.936359,0.937836,0.940148,0.941365,0.942882,0.947915,0.951187,0.954798,0.958637,0.961801,0.96489,0.969853,0.972181,0.975509,0.932955
630,0.931397,0.930613,0.931447,0.937193,0.936465,0.93986,0.943871,0.946537,0.949488,0.952883,0.955196,0.960332,0.964233,0.96728,0.97056,0.927
631,0.929888,0.925792,0.928726,0.93093,0.933756,0.934554,0.938826,0.943478,0.946802,0.947701,0.953531,0.956809,0.959783,0.965312,0.967201,0.925403
632,0.924222,0.923595,0.92592,0.927079,0.929114,0.932107,0.934024,0.937165,0.941198,0.944227,0.948013,0.952392,0.955196,0.95949,0.960734,0.919185
633,0.919902,0.919267,0.92216,0.924531,0.924459,0.931748,0.931055,0.936155,0.9372,0.941841,0.945452,0.949508,0.95234,0.956109,0.956606,0.917259
634,0.917178,0.916456,0.918729,0.91839,0.920369,0.924686,0.926335,0.930009,0.931826,0.936273,0.940418,0.941977,0.946914,0.950504,0.951842,0.91254
635,0.913528,0.911025,0.911872,0.913718,0.916739,0.917947,0.921211,0.92362,0.926835,0.931343,0.933638,0.938639,0.940516,0.945869,0.945844,0.908139
636,0.913035,0.909158,0.912776,0.911795,0.915547,0.916092,0.919656,0.922147,0.926105,0.931257,0.932119,0.935092,0.938902,0.944851,0.946018,0.904508
