"wavelength (nm)",0,50,100,150,200,250,300,350,400,450,500,550,600,650,700,0_r
338,1.337696,1.334251,1.332378,1.337849,1.334544,1.331414,1.339548,1.337143,1.342237,1.332376,1.343744,1.344324,1.332906,1.331845,1.342294,1.337464
339,1.332914,1.327187,1.331212,1.33028,1.33991,1.329687,1.331948,1.3273,1.331295,1.333926,1.332492,1.329523,1.330348,1.33584,1.330248,1.330782
340,1.326757,1.318704,1.325586,1.328777,1.325388,1.325752,1.325121,1.330523,1.328941,1.330471,1.329149,1.331921,1.32544,1.330701,1.32764,1.329139
341,1.324199,1.320191,1.327242,1.323827,1.323023,1.324337,1.323029,1.328325,1.327572,1.32343,1.325779,1.323118,1.325823,1.328787,1.328923,1.323637
342,1.322392,1.318111,1.324459,1.314506,1.317367,1.318519,1.323882,1.318548,1.32068,1.319518,1.318988,1.323603,1.319876,1.32441,1.324922,1.321173
343,1.319259,1.314939,1.320655,1.319981,1.321104,1.312189,1.318668,1.323005,1.320236,1.320972,1.324532,1.320349,1.322442,1.322358,1.323669,1.317745
344,1.314569,1.315843,1.31223,1.31628,1.311622,1.316514,1.315672,1.311931,1.316763,1.31649,1.31843,1.319267,1.312394,1.314829,1.31541,1.317037
345,1.313475,1.3154,1.313785,1.311052,1.315323,1.310846,1.315304,1.317884,1.316509,1.315687,1.316986,1.31722,1.316345,1.317553,1.3176,1.31714
346,1.310436,1.308089,1.309067,1.308113,1.306192,1.311926,1.30994,1.310526,1.309925,1.311602,1.313156,1.314505,1.314376,1.309451,1.314045,1.309206
347,1.312773,1.313952,1.309892,1.308037,1.304916,1.30839,1.307166,1.312252,1.310279,1.310562,1.314898,1.315114,1.310506,1.316599,1.314287,1.310337
348,1.298306,1.305003,1.305313,1.30249,1.300243,1.304902,1.305728,1.301007,1.311118,1.305619,1.305545,1.310066,1.308046,1.304515,1.302974,1.303047
349,1.305487,1.301324,1.298633,1.301584,1.301449,1.298177,1.303531,1.302313,1.303529,1.302244,1.302619,1.303274,1.301777,1.301653,1.300789,1.301775
350,1.297676,1.301427,1.296998,1.295693,1.301587,1.300903,1.299896,1.30305,1.301774,1.298766,1.301815,1.2982,1.301869,1.304674,1.302874,1.300913
351,1.297443,1.288596,1.293038,1.291793,1.294077,1.298638,1.293618,1.298023,1.292,1.296266,1.295034,1.297055,1.292481,1.296431,1.297848,1.295777
352,1.288368,1.287774,1.290517,1.290405,1.289399,1.292663,1.288765,1.293781,1.288315,1.287106,1.291936,1.291805,1.29239,1.287993,1.29346,1.291202
353,1.290262,1.288502,1.290322,1.289343,1.289737,1.289718,1.292262,1.287894,1.286474,1.286993,1.288052,1.288009,1.28568,1.290375,1.287804,1.294519
354,1.289171,1.282462,1.285721,1.28596,1.280522,1.281875,1.285449,1.279018,1.287874,1.28641,1.285017,1.28342,1.286784,1.28549,1.288915,1.287687
355,1.279104,1.275931,1.281996,1.27863,1.279221,1.283398,1.278759,1.278031,1.283785,1.276899,1.279718,1.279194,1.280028,1.280588,1.278061,1.285284
356,1.271072,1.270718,1.269033,1.271443,1.26955,1.270738,1.268758,1.268609,1.275802,1.27253,1.272085,1.272742,1.273306,1.268156,1.268113,1.273978
357,1.268149,1.265018,1.264948,1.265869,1.268724,1.269084,1.267081,1.264017,1.269049,1.269448,1.270715,1.266381,1.267703,1.272042,1.266991,1.265304
358,1.262553,1.260639,1.263852,1.261616,1.261263,1.262475,1.26162,1.262596,1.261859,1.26562,1.262903,1.262747,1.264284,1.264631,1.264922,1.262915
359,1.256879,1.257254,1.256114,1.256395,1.255662,1.256144,1.264644,1.259256,1.256647,1.260895,1.25768,1.259445,1.262194,1.263093,1.265729,1.258859
360,1.254953,1.256238,1.253365,1.257961,1.252774,1.255708,1.252908,1.257421,1.255685,1.25467,1.257093,1.257685,1.252102,1.25566,1.258219,1.258948
361,1.251382,1.2491,1.250345,1.249309,1.250134,1.254204,1.249211,1.248798,1.253838,1.25334,1.24888,1.25404,1.248775,1.25024,1.250896,1.251863
362,1.247528,1.246651,1.246029,1.242854,1.245104,1.242606,1.245794,1.241252,1.251986,1.244087,1.244374,1.246243,1.243562,1.244652,1.249423,1.243911
363,1.242256,1.245167,1.241908,1.238846,1.243503,1.239408,1.242934,1.241485,1.244242,1.246449,1.244598,1.242755,1.242949,1.243041,1.241369,1.243235
364,1.234804,1.230898,1.235321,1.237406,1.237322,1.234777,1.233137,1.235169,1.235645,1.237759,1.235931,1.234301,1.234087,1.237562,1.234233,1.23809
365,1.229014,1.230792,1.228249,1.230915,1.233516,1.231036,1.231353,1.23087,1.230018,1.233351,1.230829,1.231685,1.234701,1.227457,1.231573,1.229718
366,1.227695,1.225637,1.227625,1.228185,1.228583,1.224656,1.230543,1.229119,1.225981,1.228796,1.225847,1.229668,1.231664,1.228658,1.227747,1.231364
367,1.227937,1.22407,1.225798,1.223265,1.228636,1.223524,1.225676,1.228627,1.227127,1.226237,1.230963,1.228134,1.226586,1.225674,1.225001,1.226592
368,1.225672,1.219753,1.224675,1.227322,1.226591,1.22506,1.226927,1.22573,1.225753,1.221479,1.223448,1.225578,1.225145,1.228554,1.225378,1.224854
369,1.223222,1.217301,1.222028,1.220675,1.223329,1.221981,1.226991,1.226525,1.225304,1.223651,1.225036,1.223615,1.225933,1.228273,1.225149,1.221836
370,1.221159,1.220135,1.222524,1.217066,1.216188,1.217431,1.222434,1.225756,1.223169,1.224624,1.220825,1.224077,1.220996,1.222372,1.225123,1.221666
371,1.223773,1.222257,1.220572,1.222158,1.224099,1.223595,1.225824,1.220976,1.22442,1.229562,1.226378,1.225292,1.226065,1.228827,1.223151,1.223796
372,1.227694,1.218056,1.219763,1.226352,1.226364,1.222255,1.222359,1.224979,1.220257,1.226353,1.222766,1.227109,1.221604,1.22613,1.220973,1.22459
373,1.173081,1.171869,1.173076,1.169677,1.171704,1.175443,1.172253,1.173704,1.175233,1.175844,1.171291,1.174019,1.174081,1.171109,1.175445,1.176173
374,1.170798,1.169807,1.168658,1.170152,1.168388,1.171555,1.16775,1.171084,1.172683,1.172979,1.168541,1.172747,1.171265,1.170839,1.171919,1.172367
375,1.171976,1.173528,1.17232,1.172695,1.171496,1.172762,1.173637,1.174308,1.174091,1.177296,1.174609,1.176728,1.176043,1.173198,1.173991,1.173677
376,1.176234,1.174488,1.173179,1.170812,1.173663,1.17319,1.172704,1.175319,1.175287,1.172186,1.172866,1.175084,1.173777,1.174826,1.17457,1.173758
377,1.17411,1.172925,1.176318,1.175139,1.174341,1.176393,1.179034,1.177724,1.175321,1.178163,1.174225,1.176253,1.176014,1.177242,1.177294,1.175739
378,1.174575,1.174739,1.175697,1.17224,1.17622,1.176972,1.179481,1.178031,1.173121,1.177857,1.178063,1.176332,1.174287,1.176007,1.177048,1.177131
379,1.180679,1.177709,1.176708,1.17788,1.176274,1.176901,1.177172,1.176922,1.178695,1.179175,1.175952,1.180522,1.17903,1.179996,1.180433,1.177753
