#Operator Name: 
#Experimental Name: 
#SampleDescription: 
#Measurement No.: 23
#Excitation Wavelength: 532.08 nm
#Laser Current: 100 %
#Excitation Power: 7.32 mW
#Excitation Power Density: 1.23E+03 W/cm2
#ND Filter: 10.95 % (170/255)
#Spectrograph Center Wavelength: 710.00 cm-1
#Grating: 1200 gr/mm
#Slit width: 50 um
#Exposure Time: 20 s
#Averaging: 2
#Readout speed: 2MHz
#Gain: High
#Readout port: Low Noise
#CCD temperature: -70
#Optical Line Shaping mode: ON
#Objective Lens: TU Plan Fluor 20x/ NA 0.45
#Measurement Mode: XY Averaging (AreaFlash)
#X axis (wavenumber): Not Calibrated
#Wavenumber Shift compensation (cm-1): -0.721845776996474
#XY Stage Position: (13289.9,21552.2,33334.3)
#--------------------------------------
#Correction: Wavelength data:0.702 cm-1
#--------------------------------------
#Correction: Wavelength data:0.038 cm-1
#--------------------------------------
#--------------------------------------
#Average: N_2/7/2024 2:04:31 PM Index:23, N_2/7/2024 2:03:49 PM Index:22, N_2/7/2024 2:03:07 PM Index:21, N_2/7/2024 2:01:41 PM Index:19, N_2/7/2024 2:00:18 PM Index:17, N_2/7/2024 1:59:36 PM Index:16, N_2/7/2024 1:58:52 PM Index:15, N_2/7/2024 1:57:28 PM Index:13, N_2/7/2024 1:56:46 PM Index:12, N_2/7/2024 1:56:04 PM Index:11, N_2/7/2024 1:55:20 PM Index:10, N_2/7/2024 1:54:38 PM Index:9, N_2/7/2024 1:53:56 PM Index:8, N_2/7/2024 1:52:33 PM Index:6, N_2/7/2024 1:51:49 PM Index:5, N_2/7/2024 1:51:07 PM Index:4, N_2/7/2024 1:50:25 PM Index:3, N_2/7/2024 1:49:43 PM Index:2, N_2/7/2024 1:49:01 PM Index:1
#

wn(K_before)	K_before	wn(K_preconditioned)	K_preconditioned	wn(K_after)	K_after	wn(Na_before)	Na_before	wn(Na_precondtioned)	Na_precondtioned	wn(Na_after)	Na_after	
97.3872047900659	0.21956275832784	97.5356647150657	0.181433316711197	97.5277471571098	0.198239707151166	97.3743389718984	0.206676981236633	97.654432720974	0.177359888331523	97.669259148166	0.181638527493943
98.331033428989	0.205696074882093	98.4794783658035	0.172825160050303	98.4715616071808	0.188334196894313	98.3181689097328	0.198106523329183	98.5982343812429	0.176698377734539	98.6130593116068	0.181386826939636
99.2747667830881	0.188269326566161	99.4231967339874	0.162748291300547	99.4152807745813	0.177158759703839	99.261903562543	0.187290832998214	99.5419407607733	0.178083272236054	99.5567641945345	0.183206273052883
100.218404866788	0.176974729562604	100.366819834042	0.157184005232032	100.358904673729	0.171228285031484	100.205542944765	0.180340534031628	100.48555187399	0.181942300420599	100.500373811377	0.187538393394031
101.161947694523	0.181120890800273	101.310347680395	0.161254401168773	101.302433319059	0.176105434518959	101.149087070818	0.183301485772412	101.42906773532	0.188162869094336	101.443888176564	0.194218317273682
102.105395280709	0.204270606843098	102.253780287472	0.176469319475723	102.245866724985	0.193383777484453	102.092535955126	0.198506021303952	102.372488359189	0.195942401473406	102.387307304507	0.202389318665796
103.050733544293	0.241938703867786	103.199103542687	0.199464089976237	103.191190780613	0.219309197144793	103.037875519371	0.223043496296992	103.317799607787	0.204132797148378	103.332617054264	0.210844265597474
103.992004786112	0.280419084419584	104.140359841462	0.221498488492486	104.132447876316	0.244048295668097	103.979148056187	0.248380592258079	104.259043952203	0.211333543233968	104.27385990636	0.218112565496714
104.935166734162	0.303811686054665	105.083506817205	0.23308934382168	105.075595650549	0.257048939965992	104.922311301772	0.264211063600146	105.202178950178	0.21467175923359	105.216993409093	0.221342855265237
105.87823349833	0.300255625113742	106.026558611327	0.22837354881946	106.01864824304	0.251986939082316	105.865379363277	0.262916408090889	106.145218768346	0.212786895829382	106.160031732248	0.219241100521522
106.821205093016	0.271937236280709	106.969515238241	0.209804337435863	106.961605668203	0.231993450233011	106.808352255106	0.2456603902856	107.088163421118	0.206803510199264	107.102974890229	0.213065084530567
107.764081532634	0.232807256493131	107.912376712349	0.18639838063055	107.904467940432	0.20680542812691	107.751229991667	0.221407495535672	108.031012922896	0.199372858511634	108.045822897446	0.205458524151944
108.706862831579	0.199318503677404	108.855143048051	0.167653541096606	108.847235074143	0.186050583591638	108.694012587363	0.200509894910662	108.97376728808	0.192798646712703	108.988575768293	0.198664137165406
109.649549004254	0.182003138912687	109.797814259746	0.159086048928972	109.789907083723	0.176199805762511	109.636700056592	0.189704103835722	109.916426531072	0.188181894410465	109.931233517174	0.193804143125072
110.592140065059	0.183935549773484	110.740390361832	0.162206599154691	110.732483983575	0.178968569651632	110.579292413749	0.191000222268044	110.858990666264	0.185982186831615	110.873796158485	0.191180541259965
111.53463602838	0.202296736083899	111.682871368703	0.17461747104091	111.67496578809	0.191998449017151	111.521789673232	0.20267310746816	111.801459708055	0.186460480824291	111.816263706613	0.191204552857493
112.477036908615	0.228426959741726	112.625257294749	0.19044143043507	112.617352511657	0.208927352098799	112.464191849431	0.219517055167497	112.743833670826	0.189682230276772	112.758636175953	0.193974665013727
113.41934272015	0.250195442711474	113.567548154355	0.202420414313245	113.559644168668	0.221581971510553	113.406498956731	0.233941661822953	113.686112568972	0.195159367398478	113.700913580891	0.199074752422925
114.361553477367	0.259210985649962	114.509743961909	0.206479690688556	114.501840773501	0.225484830026589	114.348711009519	0.24039449775346	114.628296416871	0.20197519977562	114.643095935811	0.205625747479803
115.303669194647	0.255661865876718	115.45184473179	0.203947515526873	115.443942340546	0.221949335211523	115.290828022178	0.239114776508608	115.570385228908	0.208877426539886	115.585183255094	0.212378137442535
