#Operator Name: 
#Experimental Name: 
#SampleDescription: 
#Measurement No.: 25
#Excitation Wavelength: 532.08 nm
#Laser Current: 100 %
#Excitation Power: 7.10 mW
#Excitation Power Density: 1.19E+03 W/cm2
#ND Filter: 10.95 % (170/255)
#Spectrograph Center Wavelength: 710.00 cm-1
#Grating: 1200 gr/mm
#Slit width: 50 um
#Exposure Time: 20 s
#Averaging: 2
#Readout speed: 2MHz
#Gain: High
#Readout port: Low Noise
#CCD temperature: -70
#Optical Line Shaping mode: ON
#Objective Lens: TU Plan Fluor 20x/ NA 0.45
#Measurement Mode: XY Averaging (AreaFlash)
#X axis (wavenumber): Not Calibrated
#Wavenumber Shift compensation (cm-1): -0.721845776996474
#XY Stage Position: (4009.6,4026.4,98.0)
#--------------------------------------
#Correction: Wavelength data:0.7 cm-1
#--------------------------------------
#Correction: Wavelength data:0.3 cm-1
#--------------------------------------
#Correction: Wavelength data:0.025 cm-1
#--------------------------------------
#--------------------------------------
#Average: N_2/7/2024 7:38:55 PM Index:25, N_2/7/2024 7:38:13 PM Index:24, N_2/7/2024 7:37:31 PM Index:23, N_2/7/2024 7:36:49 PM Index:22, N_2/7/2024 7:36:07 PM Index:21, N_2/7/2024 7:35:23 PM Index:20, N_2/7/2024 7:34:00 PM Index:18, N_2/7/2024 7:33:18 PM Index:17, N_2/7/2024 7:32:36 PM Index:16, N_2/7/2024 7:31:52 PM Index:15, N_2/7/2024 7:31:10 PM Index:14, N_2/7/2024 7:30:28 PM Index:13, N_2/7/2024 7:29:46 PM Index:12, N_2/7/2024 7:27:39 PM Index:9, N_2/7/2024 7:26:57 PM Index:8, N_2/7/2024 7:26:15 PM Index:7
#Calculation: [After_ Na] - (1 * [Before_Na])
#--------------------------------------
#

wn(After_ Na-Before_Na)	After_ Na-Before_Na	wn(After_K-Before_Na)	After_K-Before_Na	wn(After_ Na-After_K)	After_ Na-After_K	wn(Before_Na-Before_K)	Before_Na-Before_K	
97.669259148166	-0.0249951071339997	97.5277471571098	-0.0248641931020663	97.669259148166	-0.0175504647584431	97.3743389718984	-0.0174195507265096
98.6130593116068	-0.0135126886777696	98.4715616071808	-0.017695032121845	98.6130593116068	-0.0060838602433278	98.3181689097328	-0.0116130346195951
99.5567641945345	-0.00229073381040848	99.4152807745813	-0.0118099864520291	99.5567641945345	0.00626393259299388	99.261903562543	-0.00393167067596942
100.500373811377	0.00572515232448667	100.358904673729	-0.00833894470836077	100.500373811377	0.0148135709403943	100.205542944765	0.0012719152974556
101.443888176564	0.00552926398467499	101.302433319059	-0.0104642463952133	101.443888176564	0.0144138539724042	101.149087070818	0.000270536695543916
102.387307304507	-0.00148456439910066	102.245866724985	-0.0169721277109509	102.387307304507	0.00486420238907162	102.092535955126	-0.0087733545732466
103.332617054264	-0.0203045888355123	103.191190780613	-0.0325538286265021	103.332617054264	-0.0138981560066888	103.037875519371	-0.0236818112410441
104.27385990636	-0.037818293033585	104.132447876316	-0.048233554922346	104.27385990636	-0.0311296091287672	103.979148056187	-0.0390795347817462
105.216993409093	-0.0413613082904493	105.075595650549	-0.0539113743501777	105.216993409093	-0.0353208929225569	104.922311301772	-0.0488775115783128
106.160031732248	-0.0366262200803383	106.01864824304	-0.0526208233188431	106.160031732248	-0.0286874701770167	105.865379363277	-0.047242735876107
107.102974890229	-0.0230754858247591	106.961605668203	-0.0426264610479214	107.102974890229	-0.0126640183125756	106.808352255106	-0.0352118813658414
108.045822897446	-0.00752695335799855	107.904467940432	-0.0285625723087363	108.045822897446	0.00501343632228468	107.751229991667	-0.0183656135122177
108.988575768293	0.0029682837329332	108.847235074143	-0.0163611463787149	108.988575768293	0.0168197747217948	108.694012587363	-0.00356689273718294
109.931233517174	0.004500843045493	109.789907083723	-0.0100021596406363	109.931233517174	0.0187410694888925	109.636700056592	0.00458169072274395
110.873796158485	-0.00327207726192691	110.732483983575	-0.0105798547843549	110.873796158485	0.0104839460374747	110.579292413749	0.00466555584535816
111.816263706613	-0.016887304884529	111.67496578809	-0.0169570398444757	111.816263706613	-0.0041799389514863	111.521789673232	-0.00247433564058047
112.758636175953	-0.0303272052963346	112.617352511657	-0.0260751726411944	112.758636175953	-0.018286597645109	112.464191849431	-0.0129258642018921
113.700913580891	-0.0371543252123997	113.559644168668	-0.033991391837095	113.700913580891	-0.0246544168719944	113.406498956731	-0.0214119519457246
114.643095935811	-0.0345596406705103	114.501840773501	-0.0375863396999422	114.643095935811	-0.0207158276351455	114.348711009519	-0.0245085135074384
115.585183255094	-0.0253474104628022	115.443942340546	-0.0366040283220213	115.585183255094	-0.0098200770195418	115.290828022178	-0.0220804930634689
116.527175553121	-0.0152658458761742	116.38594888417	-0.033244572709684	116.527175553121	0.00165700651814343	116.232850009084	-0.0170435746218837
117.467090002381	-0.00760694296256995	117.325877546897	-0.0288891961686113	117.467090002381	0.00935562099428097	117.172794080252	-0.0126484138681766
118.408892500982	-0.0109239212586194	118.267694286795	-0.0301903636562109	118.408892500982	0.00705425890042571	118.114626258761	-0.011389924393319
119.350600021411	-0.0187270145068599	119.209416046368	-0.0337565854692377	119.350600021411	-0.00115602863291761	119.056363454609	-0.0150230778424322
120.292212578035	-0.0291583134506558	120.151042839982	-0.040079346766127	120.292212578035	-0.0117841331689843	119.998005682166	-0.022010853857433
121.233730185217	-0.0361021967865423	121.092574681999	-0.0461661523058142	121.233730185217	-0.0180169353892388	120.939552955791	-0.0283499787004236
122.175152857322	-0.0354457192962953	122.034011586784	-0.0480982611202179	122.175152857322	-0.0160244707770774	121.881005289852	-0.0298059859727527
123.116480608704	-0.027678267205136	122.975353568698	-0.0448991096628193	123.116480608704	-0.00677872376165672	122.822362698706	-0.0253115865818442
124.055732010565	-0.017111372747429	123.914619168987	-0.0382617931141291	124.055732010565	0.00452557387428459	123.76164369113	-0.0179367348550029
124.996870163322	-0.0124731408772947	124.855771547976	-0.0339927885909361	124.996870163322	0.00984327538746579	124.7028114924	-0.0117731419548538
125.937913438385	-0.0139863704516489	125.796829047118	-0.0325068371252792	125.937913438385	0.0081853964427252	125.643884411489	-0.00979136815675263
126.878861850098	-0.0218950047851221	126.73779168076	-0.0345743946456496	126.878861850098	-0.000237904363716734	126.584862462747	-0.012063669612181
127.819715412803	-0.0321179141930256	127.678659463247	-0.0383281417369637	127.819715412803	-0.0113205927490691	127.525745660518	-0.0168813424500057
128.758493695761	-0.0413312817855588	128.617451933904	-0.0431342813922272	128.758493695761	-0.0201080720004468	128.464553511683	-0.021261659090508
129.699157803083	-0.0378053689237716	129.558130256708	-0.0413968952129287	129.699157803083	-0.0185782088913302	129.405247245119	-0.0227654180168392
130.637747058063	-0.0304868993121546	130.496733695101	-0.0381856774212319	130.637747058063	-0.0110278038164878	130.343866059375	-0.0193222048524919
131.578221767217	-0.0178944811160452	131.437222615448	-0.0306859276755657	131.578221767217	0.000702706433001049	131.284370385696	-0.0131729072745213
132.516622051302	-0.00814124145338788	132.375637078665	-0.0244277672793548	132.516622051302	0.0106629331861089	132.22280022013	-0.00670765076122004
133.456907419488	-0.0110554710187725	133.315936653751	-0.0252056226910672	133.456907419488	0.0114647993944144	133.163115196538	-0.00274436030088943
134.397098038899	-0.0183759242227958	134.256141477916	-0.0284368261290765	134.397098038899	0.0062333592713277	134.103335419699	-0.00316817622841425
135.335214874129	-0.0289604412793951	135.194272485853	-0.0340879297971581	135.335214874129	-0.00351733112404046	135.04148179189	-0.00798551953295062
136.275216238355	-0.0408727701005673	136.13428805054	-0.0422586548809645	136.275216238355	-0.014617646017002	135.981512750925	-0.0152025269475787
137.215122896727	-0.0472247749037015	137.074208907234	-0.0481298757399306	137.215122896727	-0.0207600258378782	136.921448999634	-0.0217723755308183
138.152956411508	-0.0494934012255746	138.012056588301	-0.0521640289744164	138.152956411508	-0.0205877503769871	137.859312037999	-0.0233656162008709
139.092673900424	-0.0398980047616553	138.951788271246	-0.0461342796053951	139.092673900424	-0.0106070062831828	138.799059108318	-0.0187467420187956
140.030318672489	-0.0315939164047357	139.889447205325	-0.0394752071850938	140.030318672489	0.000311905914274768	139.736733395057	-0.0094726544183254
140.969847049048	-0.0258718146236899	140.828989771628	-0.0329832483633375	140.969847049048	0.00787342157046544	140.676291344087	-0.000164449546914192
141.909280791224	-0.0239833240055792	141.768437701408	-0.0283363255191494	141.909280791224	0.00966267293657805	141.615754654267	0.00588898051185038
142.84664245665	-0.0240252192735275	142.705813522432	-0.0251039852814177	142.84664245665	0.0060894456819594	142.553145821003	0.00558993053874263
143.785887172115	-0.0290871123732446	143.645072421215	-0.0272778570529574	143.785887172115	-0.00224457450967711	143.492420095547	0.00112259040883933
144.723060237244	-0.0327537896903377	144.582259637675	-0.0300884396163735	144.723060237244	-0.00942440716629697	144.429622653079	-0.00520130405866903
145.662115983039	-0.031947139039876	145.521329562507	-0.0314178779441	145.662115983039	-0.0107373258499432	145.368707949034	-0.00998856672588572
146.599100504787	-0.0283404943399737	146.458328231311	-0.0323246712344822	146.599100504787	-0.00735995943057743	146.305721954286	-0.0111246603534189
147.537967337936	-0.022444416972002	147.397209239225	-0.0304909622499824	147.537967337936	-0.00090466560814581	147.244618328681	-0.009365603611316
148.474763373193	-0.0177737673105505	148.334019417267	-0.0287078622176572	148.474763373193	0.00416182896297393	148.181443838541	-0.00718661703259266
149.413441350698	-0.018660071225271	149.27271156526	-0.0296013401840236	149.413441350698	0.00430707337923894	149.120151348379	-0.00641559203133613
150.350048956334	-0.0210013895574587	150.209333309413	-0.030559072284639	150.350048956334	0.00176582960129434	150.05678841973	-0.00757327154002624
151.28853813517	-0.0262308464321447	151.147836654462	-0.0334737364675134	151.28853813517	-0.00334338114901628	150.99530712199	-0.0101294460684724
152.224957368031	-0.0312276295800025	152.084270021576	-0.0366351702397746	152.224957368031	-0.00815456008103588	151.931755811675	-0.0131053215159314
153.163257805158	-0.0323876999376681	153.022584620641	-0.037573977153845	153.163257805158	-0.00911383924373776	152.870085763316	-0.0146078379856812
154.099488722062	-0.0300477796865428	153.958829667539	-0.0369181485487747	154.099488722062	-0.00638633895111623	153.806346128164	-0.0138756420100277
155.035625601486	-0.024953407512223	154.894980674824	-0.0342116904240947	155.035625601486	-0.000876327594574511	154.742512451088	-0.0107606842438327
155.971668457587	-0.0198563311026719	155.831037656659	-0.0306142095253201	155.971668457587	0.0043878243823588	155.678584746256	-0.0067737127277277
156.907617304536	-0.0158757664699787	156.767000627213	-0.0268674946032392	156.907617304536	0.00770856015234228	156.614563027833	-0.00368678612836743
157.845446434465	-0.01791420587478	157.70484390841	-0.0264084505411409	157.845446434465	0.00649946678907837	157.552421650045	-0.0019174150561973
158.781207107328	-0.0214716812862347	158.640618700621	-0.0267640891129064	158.781207107328	0.00303023574064809	158.488211748663	-0.00196490794356469
159.716873813541	-0.026085473794286	159.576299524055	-0.0282598718793808	159.716873813541	-0.00175480831399483	159.423907876204	-0.0036319721067069
160.654420250139	-0.0297968364504406	160.513860105522	-0.0303409594481904	160.654420250139	-0.00540132330083598	160.361483791745	-0.00589186324158364
161.589898867347	-0.030574514120935	161.449352835694	-0.0314093314876898	161.589898867347	-0.0058586660431143	161.296991821408	-0.00701442132815289
162.525283560386	-0.028946895679447	162.384751639573	-0.0313855588775929	162.525283560386	-0.00321851322956962	162.23240592247	-0.00597808212365958
163.462547431449	-0.0253174214817448	163.322029649113	-0.0295255653200104	163.462547431449	0.00124962835285736	163.169699259153	-0.00351109518920206
164.397744120506	-0.023465890988856	164.257240444753	-0.0281348226850625	164.397744120506	0.00427492163203652	164.104925347368	-0.000758765311101139
165.332846927853	-0.0239294171222102	165.192357356558	-0.0276248803492521	165.332846927853	0.00481687351327165	165.040057549446	0.00105308188384651
166.267855867623	-0.0258414448849186	166.127380398666	-0.0277675256754703	166.267855867623	0.00319724773434127	165.975095879516	0.0012028454002268
167.204743249444	-0.0301902293076166	167.064281910447	-0.0300956690295411	167.204743249444	-0.0009011860015401	166.91201270921	-0.000265642421645784
168.139564298497	-0.0332435829567204	167.999117057585	-0.0322910779369699	168.139564298497	-0.0044958950024287	167.846863139708	-0.00317084470702772
169.074291522396	-0.0346431145832678	168.933858377448	-0.0339979753720336	169.074291522396	-0.00618037406169764	168.781619740632	-0.00553369688153799
170.008924935268	-0.0339398024813855	169.868505884158	-0.0342446474143776	170.008924935268	-0.0053440057019884	169.716282526097	-0.00597623738376779
170.943464551226	-0.0321589518916574	170.803059591839	-0.0332730868185709	170.943464551226	-0.00302302868114351	170.650851510236	-0.00446451750183041
171.87988168998	-0.0299748770106595	171.739490849915	-0.0312558317004602	171.87988168998	-0.00087609150138751	171.587298074694	-0.00232647813789183
172.814233556666	-0.0290270274541607	172.673856804075	-0.0296797401334673	172.814233556666	-0.000315796668675428	172.521679300706	-0.000854192376079754
173.748491668823	-0.0293422750605351	173.608129001583	-0.0285743506560729	173.748491668823	-0.00172100927764496	173.455966767771	-0.000521438379572026
174.682656040561	-0.0306250025294494	174.542307456555	-0.028143474155858	174.682656040561	-0.00468143479317856	174.390160489998	-0.00161866152390211
175.616726685985	-0.0323429979444475	175.476392183093	-0.0281946849078714	175.616726685985	-0.00822707128545219	175.324260481499	-0.00356747204722851
176.550703619199	-0.033779347535214	176.410383195303	-0.0284553785021135	176.550703619199	-0.011103343961737	176.258266756373	-0.00555751905766622
177.484586854313	-0.0344059047644043	177.344280507288	-0.0286092384013019	177.484586854313	-0.0123247178614676	177.192179328726	-0.00664200900382395
178.418376405418	-0.0347907248393013	178.278084133151	-0.0289208917904271	178.418376405418	-0.0121835102260036	178.125998212658	-0.00642762325097324
179.354042010138	-0.0335289818629636	179.213763840202	-0.0285156712679229	179.354042010138	-0.0105177232687063	179.061693207666	-0.00577058126787622
180.287644037948	-0.0333153040166682	180.147379938528	-0.0289576769601321	180.287644037948	-0.00940155975662338	179.995324559466	-0.00518752053637211
181.219183095644	-0.0339015849843155	181.078933034951	-0.0297785616425355	181.219183095644	-0.00910327521555132	180.926892874893	-0.00512382533865535
182.15259805166	-0.0340446462718624	182.012362057256	-0.0303632509495079	182.15259805166	-0.00933657492078444	181.860337146089	-0.00547686581367335
183.085919394121	-0.0341582707074027	182.945697463892	-0.030710532434798	183.085919394121	-0.0101302967696977	182.79368779932	-0.00632592338905069
184.019147137114	-0.033390427590825	183.878939268943	-0.0305371168151113	184.019147137114	-0.0108323814626227	183.726944848673	-0.0076003442821988
184.952281294718	-0.0313239274468251	184.812087486487	-0.0292859699708913	184.952281294718	-0.0108545224439598	184.660108308228	-0.00847358456635344
185.885321881007	-0.0278505022344374	185.745142130603	-0.026712014081074	185.885321881007	-0.00991880047916077	185.593178192063	-0.00854656941968768
186.818268910054	-0.0236329587928945	186.678103215363	-0.0231464911478431	186.818268910054	-0.00829770129618973	186.526154514246	-0.00762307652328742
187.75112239593	-0.0196124235137631	187.610970754842	-0.0193334710659168	187.75112239593	-0.00675195638151632	187.459037288856	-0.00629652476840165
188.683882352707	-0.0164673941504979	188.543744763105	-0.015953993481525	188.683882352707	-0.00575482658766763	188.391826529962	-0.00507047785295783
189.614581242156	-0.013929997766263	189.474457672288	-0.0132481332575601	189.614581242156	-0.00516967509214572	189.322554637565	-0.00431687961970301
190.547154380169	-0.0133805468022753	190.407044857562	-0.0121889305707761	190.547154380169	-0.00550941762974838	190.255157051106	-0.00411117176805487
191.479634031235	-0.0130316565919405	191.339538553784	-0.0117479102647317	191.479634031235	-0.00594382153950379	191.187665973303	-0.00447163918399174
192.412020209416	-0.0127910824356223	192.271938775008	-0.0116667870247864	192.412020209416	-0.00623177852119633	192.120081418212	-0.00505237142659243
193.344312928766	-0.0122024544750379	193.204245535286	-0.0113079128708791	193.344312928766	-0.00590512751772998	193.052403399888	-0.00508251611412186
194.276512203334	-0.0112713683321254	194.136458848672	-0.0106310384637314	194.276512203334	-0.00499377004312446	193.984631932384	-0.00450569035176956
195.208618047171	-0.0104396727276346	195.068578729217	-0.00999343760330235	195.208618047171	-0.00385355945948579	194.916767029747	-0.00362759722538736
196.140630474318	-0.0101428485486943	196.000605190962	-0.00980470812721768	196.140630474318	-0.00284545123641472	195.848808706025	-0.00270900949603387
197.072549498822	-0.0104121056854629	196.932538247951	-0.0101155727428982	197.072549498822	-0.00219394960447561	196.780756975262	-0.00208937074419208
